EcopathName,CameoName,Region,CombinedEcopathName,TrophicLevel,LengthAtMat,
Salmon returning,Pacific salmon,GoA,Salmon,,,Out
Salmon outgoing,Pacific salmon,GoA,Salmon,,,Out
AK Plaice,Alaska plaice,GoA,,,,
Atka mackerel,Atka mackerel,GoA,Mackerel,,,
Atka mackerel_Juv,Atka mackerel,GoA,Mackerel,,,
Big skate,Big skate,GoA,,,,
Capelin,Capelin,GoA,,,,
Eelpouts,Eelpouts (NS),GoA,,,,
Eulachon,Eulachon,GoA,,,,
Greenlings,Greenlings (NS),GoA,,,,
Grenadiers,Grenadiers (NS),GoA,,,,
Lg. Sculpins,Large sculpins (NS),GoA,,,,
Longnose skate,Longnose skate,GoA,,,,
N. Rock sole,Northern rock sole,GoA,,,,
Octopi ,Octopi (NS),GoA,,,,
Sandlance,Pacific sand lance,GoA,,,,
Pandalidae,Pandalid shrimps (NS),GoA,,,,
Salmon shark,Salmon shark,GoA,,,,
Other sculpins,Sculpins other (NS),GoA,,,,
Other Sebastes,Sebastes other (NS),GoA,,,,
Sharpchin Rock,Sharpchin rockfish,GoA,,,,
Shortraker Rock,Shortraker rockfish,GoA,,,,
Other skates,Skates (NS),GoA,,,,
Sleeper shark,Sleeper shark,GoA,,,,
S. Rock sole,Southern rock sole,GoA,,,,
Dogfish,Spiny dogfish,GoA,,,,
YF. Sole,Yellowfin sole,GoA,,,,
Shortspine Thorns_Juv,Shortspine thornyhead,GoA,Shortspine,,,
Shortspine Thorns,Shortspine thornyhead,GoA,Shortspine,,,
Ratfish,Spotted ratfish,HS,,3.7,,Out
Dogfish,Spiny dogfish,HS,,4.3,,Out
Juvenile pollock,Walleye pollock,HS,Pollock.comb,3.5,36.9,
Pollock,Walleye pollock,HS,Pollock.comb,3.5,36.9,
Juvenile herring,Pacific herring,HS,Herring,3.2,21.4,In
Adult herring,Pacific herring,HS,Herring,3.2,21.4,In
Inshore rockfish,Quillback rockfish,HS,,3.8,31,Out
Juvenile picivorous rockfish,Silvergray rockfish,HS,Pisc.rockfish,3.8,46,Out
Adult picivorous rockfish,Silvergray rockfish,HS,Pisc.rockfish,3.8,46,Out
Juvenile planktivorous rockfish,Yellowtail rockfish,HS,Plank.rockfish,4.1,36,Out
Juvenile planktivorous rockfish,Bocaccio,HS,Plank.rockfish,3.5,48,Out
Adult planktivorous rockfish,Yellowtail rockfish,HS,Plank.rockfish,4.1,36,Out
Adult planktivorous rockfish,Bocaccio,HS,Plank.rockfish,3.5,48,Out
Juvenile turbot,Arrowtooth flounder,HS,Turbot,4.3,37.9,Out
Adult turbot,Arrowtooth flounder,HS,Turbot,4.3,37.9,Out
Juvenile flatfish,English sole,HS,Flatfish,3.4,,In
Juvenile flatfish,Dover sole,HS,Flatfish,3.3,,In
Juvenile flatfish,Butter sole,HS,Flatfish,3.6,21,In
Juvenile flatfish,Petrale sole,HS,Flatfish,4.1,44,Out
Juvenile flatfish,Rex sole,HS,Flatfish,3.2,,In
Juvenile flatfish,Slender sole,HS,Flatfish,3.4,,In
Juvenile flatfish,Flathead sole,HS,Flatfish,3.6,,
Juvenile flatfish,Pacific sanddab,HS,Flatfish,3.5,,
Juvenile flatfish,Southern rock sole,HS,Flatfish,3.2,34.7,In
Juvenile flatfish,Curlfin sole,HS,Flatfish,3.9,,In
Juvenile flatfish,Sand sole,HS,Flatfish,4.1,,In
Adult flatfish,English sole,HS,Flatfish,3.4,,In
Adult flatfish,Dover sole,HS,Flatfish,3.3,,In
Adult flatfish,Butter sole,HS,Flatfish,3.6,21,In
Adult flatfish,Petrale sole,HS,Flatfish,4.1,44,Out
Adult flatfish,Rex sole,HS,Flatfish,3.2,,In
Adult flatfish,Slender sole,HS,Flatfish,3.4,,In
Adult flatfish,Flathead sole,HS,Flatfish,3.6,,
Adult flatfish,Pacific sanddab,HS,Flatfish,3.5,,
Adult flatfish,Southern rock sole,HS,Flatfish,3.2,34.7,In
Adult flatfish,Curlfin sole,HS,Flatfish,3.9,,In
Adult flatfish,Sand sole,HS,Flatfish,4.1,,In
Juvenile halibut,Pacific halibut,HS,Halibut,4.1,,Out
Adult halibut,Pacific halibut,HS,Halibut,4.1,,Out
Juvenile Pacific cod,Pacific cod,HS,Cod,4,67,Out
Adult Pacific cod,Pacific cod,HS,Cod,4,67,Out
Juvenile sablefish,Sablefish,HS,Sablefish,3.8,60.5,Out
Adult sablefish,Sablefish,HS,Sablefish,3.8,60.5,Out
Juvenile lingcod,Lingcod,HS,Lingcod,4.3,,Out
Adult lingcod,Lingcod,HS,Lingcod,4.3,,Out
Skates,Skates (NS),HS,,,,Out
"Seals, sea lions",Harbour seal,HS,,,,
"Seals, sea lions",Steller sea lions,HS,,,,
Eulachon,Eulachon,HS,,,,
Odontocetae,Resident killers,HS,,,,
Grey seals,Grey seal,sGoSL,,,,
Cod > 35 cm,Atlantic cod,sGoSL,Cod,4.4,63.4,Out
Cod <= 35 cm,Atlantic cod,sGoSL,Cod,4.4,63.4,Out
Greenland halibut,Greenland halibut,sGoSL,,4.5,62.5,Out
American plaice <= 35 cm,American plaice,sGoSL,A.Plaice,,,
American plaice > 35 cm,American plaice,sGoSL,A.Plaice,3.7,35,
Flounders,Windowpane,sGoSL,,3.6,21.9,In
Flounders,Winter flounder,sGoSL,,2.8,27.4,In
Flounders,Witch flounder,sGoSL,,3.1,30.4,In
Flounders,Yellowtail flounder,sGoSL,,3.2,29.8,In
Redfish,Atlantic redfishes (NS),sGoSL,,,,
Skates,Smooth skate,sGoSL,,,,
Skates,Thorny skate,sGoSL,,,,
Skates,Winter skate,sGoSL,,,,
Large demersal feeders,Haddock,sGoSL,,4.1,34.9,Out
Large demersal feeders,White hake,sGoSL,,4.2,46,
Large demersal feeders,Atlantic wolffish,sGoSL,,3.2,55,
Large demersal feeders,Atlantic halibut,sGoSL,,4.5,122,Out
