Prey \ Predator,Minke,Other baleen whales,Toothed whales,Birds,Seals,Sharks,Adult herring (4+),Juvenile herring (1-3),Adult capelin (2+),Juvenile capelin (1),Polar cod (1+),Pelagic planktivorous fish,Mackerel/Horse Mackerel,Redfishes,Benthic Invertebrate Feeders 1 (BIF1),Adult haddock (4+),Juvenile haddock (1-3),Wolfishes,Adult cod (4+),Juvenile cod (1-3),Adult saithe,Juvenile saithe,Benthic piscivores,Salmon and Seatrout,Squid,Lobsters  crabs,Prawns & shrimps,Other crustaceans,Epifaunal filter feeders,Infaunal filter feeders,Other macrobenthos,Meiofauna,Carnivorous zooplankton,Herbivorous zooplankton,Planktonic micro-organisms,Benthic micro-organisms,Phytoplankton,Seaweeds and algae,Dead carcasses,Water column detritus,Benthic detritus
Squid,0,0,0.002000575,0,0,0.125664932,0,0,0,0,0,0,0,0,0,0,0,0,0.01249875,0.001100451,0.09986163,0,0.062091956,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lobsters  crabs,0,0,0,0,0,0.100544973,0,0,0,0,0,0,0,0,0,0,0,0.075041202,0,0,0,0,0.10014828,0,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Prawns & shrimps,0,0,0,0,0,0,0,0,0,0,0.0079,0,0,0.149995115,0,0.059896916,0.052286879,0.01200659,0.04949505,0.1000017,0.001864519,0.001997768,0.05007416,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Other crustaceans,0,0,0,0,0,0,0,0,0,0,0,0,0,0.173994317,0,0.053907226,0.062803099,0,0.059694031,0.251004196,0,0,0.05007416,0,0,0.15,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0
Epifaunal filter feeders,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0.382341971,0.235240996,0.548752318,0.01579842,0.008003096,0,0,0.050060443,0,0,0.2,0,0,0,0,0.05,0,0,0,0,0,0,0,0,0,0
Infaunal filter feeders,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.65,0.083855684,0.070482339,0.008004394,0.02109789,0.011104559,0,0,0.131182456,0,0,0.1,0.014992499,0.02,0,0,0.1,0.000998008,0,0,0,0,0,0,0,0,0
Other macrobenthos,0,0,0,0,0,0.097056667,0,0,0,0,0,0,0,0,0.1,0.26649438,0.045788519,0.273149909,0.00049995,0,0,0,0.050060443,0,0,0.2,0.014992499,0,0,0,0.1,0.000998008,0,0,0,0,0,0,0,0,0
Meiofauna,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0,0.2,0.4,0.4,0.25,0,0.049999995,0,0,0,0,0,0,0,0
Carnivorous zooplankton,0.223922392,0.385,0,0,0.264477612,0,0.35,0.13,0.750750775,0.059376247,0.8891,0.3881281,0.399999996,0.623917461,0,0.039999157,0.440021592,0.025013731,0.060293971,0.327434393,0.18250515,0.291743419,0.187710964,0.55,0.53,0,0.119939994,0,0,0,0,0,0.049999995,0,0,0,0,0,0,0,0
Herbivorous zooplankton,0,0,0,0,0,0,0.55,0.64,0.249249225,0.940623753,0.103,0.5118389,0.099999999,0,0,0,0,0,0.02239776,0.007302995,0,0,0,0,0.4,0,0.239880088,0.05,0,0,0,0,0.550000045,0,0,0,0,0,0,0,0
Planktonic micro-organisms,0,0,0,0,0,0,0.05,0.1,0,0,0,0.0500165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0,0,0.1,0.149701202,0.09999999,0.2,0.005,0,0,0,0,0,0
Benthic micro-organisms,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0,0.08,0.3,0,0.1,0.249501903,0,0,0,0,0,0,0,0,0
Phytoplankton,0,0,0,0,0,0,0.05,0.1,0,0,0,0.0500165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.084957526,0.05,0,0,0,0,0.09999999,0.75,0.05,0,0,0,0,0,0
Seaweeds and algae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004791754,0.006998244,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dead carcasses,0,0,0,0.002000279,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.049975018,0.05,0,0,0,0.015,0,0,0,0.015,0,0,0,0,0
Water column detritus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.212893589,0.05,0.15,0.4,0,0.099800771,0.049999995,0.01,0.85,0.055,0,0,0,0,0
Benthic detritus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.262368787,0.35,0.15,0.2,0.3,0.484000107,0.09999999,0.04,0.095,0.93,0,0,0,0,0
