YEAR,REGION,SPECIES,BIOMASS,Source
1974,BALT,Atlantic cod,450253.8,Stock assessment
1975,BALT,Atlantic cod,474622.11,Stock assessment
1976,BALT,Atlantic cod,479542.59,Stock assessment
1977,BALT,Atlantic cod,525293.82,Stock assessment
1978,BALT,Atlantic cod,655313.14,Stock assessment
1979,BALT,Atlantic cod,828669.4,Stock assessment
1980,BALT,Atlantic cod,892576.2,Stock assessment
1981,BALT,Atlantic cod,958047.5,Stock assessment
1982,BALT,Atlantic cod,896641.7,Stock assessment
1983,BALT,Atlantic cod,850358.2,Stock assessment
1984,BALT,Atlantic cod,746980.9,Stock assessment
1985,BALT,Atlantic cod,651566.7,Stock assessment
1986,BALT,Atlantic cod,463582.2,Stock assessment
1987,BALT,Atlantic cod,434634.9,Stock assessment
1988,BALT,Atlantic cod,405825.7,Stock assessment
1989,BALT,Atlantic cod,323057.52,Stock assessment
1990,BALT,Atlantic cod,259655.67,Stock assessment
1991,BALT,Atlantic cod,185660.08,Stock assessment
1992,BALT,Atlantic cod,143130.61,Stock assessment
1993,BALT,Atlantic cod,182240.31,Stock assessment
1994,BALT,Atlantic cod,277447.83,Stock assessment
1995,BALT,Atlantic cod,306775.45,Stock assessment
1996,BALT,Atlantic cod,258477.66,Stock assessment
1997,BALT,Atlantic cod,191155.98,Stock assessment
1998,BALT,Atlantic cod,180044.63,Stock assessment
1999,BALT,Atlantic cod,202802.02,Stock assessment
2000,BALT,Atlantic cod,194709.89,Stock assessment
2001,BALT,Atlantic cod,146048.53,Stock assessment
2002,BALT,Atlantic cod,170483.67,Stock assessment
2003,BALT,Atlantic cod,169767.4,Stock assessment
2004,BALT,Atlantic cod,161099.76,Stock assessment
2005,BALT,Atlantic cod,180627.89,Stock assessment
2006,BALT,Atlantic cod,236974.88,Stock assessment
2007,BALT,Atlantic cod,286142.48,Stock assessment
2008,BALT,Atlantic cod,413436.51,Stock assessment
1974,BALT,Atlantic herring,2310387.4,Stock assessment
1975,BALT,Atlantic herring,2027465.9,Stock assessment
1976,BALT,Atlantic herring,1826203,Stock assessment
1977,BALT,Atlantic herring,1596583,Stock assessment
1978,BALT,Atlantic herring,1628395.6,Stock assessment
1979,BALT,Atlantic herring,1818265,Stock assessment
1980,BALT,Atlantic herring,1600636.8,Stock assessment
1981,BALT,Atlantic herring,1465647.4,Stock assessment
1982,BALT,Atlantic herring,1741461.3,Stock assessment
1983,BALT,Atlantic herring,1526377.5,Stock assessment
1984,BALT,Atlantic herring,1462976.4,Stock assessment
1985,BALT,Atlantic herring,1574636.2,Stock assessment
1986,BALT,Atlantic herring,1106779,Stock assessment
1987,BALT,Atlantic herring,1675538.6,Stock assessment
1988,BALT,Atlantic herring,1118595.4,Stock assessment
1989,BALT,Atlantic herring,992272.7,Stock assessment
1990,BALT,Atlantic herring,1123558.7,Stock assessment
1991,BALT,Atlantic herring,997774.7,Stock assessment
1992,BALT,Atlantic herring,1068892.7,Stock assessment
1993,BALT,Atlantic herring,1138426.5,Stock assessment
1994,BALT,Atlantic herring,1228751.5,Stock assessment
1995,BALT,Atlantic herring,1043918.3,Stock assessment
1996,BALT,Atlantic herring,1206580.7,Stock assessment
1997,BALT,Atlantic herring,731117.9,Stock assessment
1998,BALT,Atlantic herring,761841.9,Stock assessment
1999,BALT,Atlantic herring,617314.6,Stock assessment
2000,BALT,Atlantic herring,712822.2,Stock assessment
2001,BALT,Atlantic herring,773345.1,Stock assessment
2002,BALT,Atlantic herring,621003.8,Stock assessment
2003,BALT,Atlantic herring,1014042.1,Stock assessment
2004,BALT,Atlantic herring,645851.2,Stock assessment
2005,BALT,Atlantic herring,724143.3,Stock assessment
2006,BALT,Atlantic herring,1000010.7,Stock assessment
2007,BALT,Atlantic herring,1090207.3,Stock assessment
2008,BALT,Atlantic herring,1178804.5,Stock assessment
1974,BALT,Sprat,1011123.1,Stock assessment
1975,BALT,Sprat,727963.1,Stock assessment
1976,BALT,Sprat,719100.9,Stock assessment
1977,BALT,Sprat,755364.3,Stock assessment
1978,BALT,Sprat,479023.62,Stock assessment
1979,BALT,Sprat,296989.13,Stock assessment
1980,BALT,Sprat,189310.67,Stock assessment
1981,BALT,Sprat,206846.08,Stock assessment
1982,BALT,Sprat,212520.47,Stock assessment
1983,BALT,Sprat,342110.82,Stock assessment
1984,BALT,Sprat,396282.24,Stock assessment
1985,BALT,Sprat,406467.45,Stock assessment
1986,BALT,Sprat,374767.54,Stock assessment
1987,BALT,Sprat,405568.58,Stock assessment
1988,BALT,Sprat,323654.21,Stock assessment
1989,BALT,Sprat,435727.5,Stock assessment
1990,BALT,Sprat,779855.7,Stock assessment
1991,BALT,Sprat,1071220.4,Stock assessment
1992,BALT,Sprat,1362586.34,Stock assessment
1993,BALT,Sprat,1346099.7,Stock assessment
1994,BALT,Sprat,1644904.53,Stock assessment
1995,BALT,Sprat,2288523.6,Stock assessment
1996,BALT,Sprat,2342705.3,Stock assessment
1997,BALT,Sprat,2110105,Stock assessment
1998,BALT,Sprat,1923791.6,Stock assessment
1999,BALT,Sprat,1778815.4,Stock assessment
2000,BALT,Sprat,1666058.9,Stock assessment
2001,BALT,Sprat,1429500.3,Stock assessment
2002,BALT,Sprat,1067384.8,Stock assessment
2003,BALT,Sprat,1225071,Stock assessment
2004,BALT,Sprat,1678812.6,Stock assessment
2005,BALT,Sprat,1504770.6,Stock assessment
2006,BALT,Sprat,1321153.2,Stock assessment
2007,BALT,Sprat,1430647.3,Stock assessment
2008,BALT,Sprat,1440308.4,Stock assessment
1946,BS,Atlantic cod,4168882,Stock assessment
1947,BS,Atlantic cod,3692801,Stock assessment
1948,BS,Atlantic cod,3665819,Stock assessment
1949,BS,Atlantic cod,3065111,Stock assessment
1950,BS,Atlantic cod,2830103,Stock assessment
1951,BS,Atlantic cod,3141009,Stock assessment
1952,BS,Atlantic cod,3407679,Stock assessment
1953,BS,Atlantic cod,3557376,Stock assessment
1954,BS,Atlantic cod,4039204,Stock assessment
1955,BS,Atlantic cod,3488383,Stock assessment
1956,BS,Atlantic cod,3189831,Stock assessment
1957,BS,Atlantic cod,2495895,Stock assessment
1958,BS,Atlantic cod,2164149,Stock assessment
1959,BS,Atlantic cod,2415826,Stock assessment
1960,BS,Atlantic cod,2050805,Stock assessment
1961,BS,Atlantic cod,2137149,Stock assessment
1962,BS,Atlantic cod,1957006,Stock assessment
1963,BS,Atlantic cod,1747579,Stock assessment
1964,BS,Atlantic cod,1374529,Stock assessment
1965,BS,Atlantic cod,1440693,Stock assessment
1966,BS,Atlantic cod,2198418,Stock assessment
1967,BS,Atlantic cod,2852164,Stock assessment
1968,BS,Atlantic cod,3387455,Stock assessment
1969,BS,Atlantic cod,2805591,Stock assessment
1970,BS,Atlantic cod,2057698,Stock assessment
1971,BS,Atlantic cod,1610969,Stock assessment
1972,BS,Atlantic cod,1621485,Stock assessment
1973,BS,Atlantic cod,2401955,Stock assessment
1974,BS,Atlantic cod,2236387,Stock assessment
1975,BS,Atlantic cod,2037430,Stock assessment
1976,BS,Atlantic cod,1931396,Stock assessment
1977,BS,Atlantic cod,1950748,Stock assessment
1978,BS,Atlantic cod,1576565,Stock assessment
1979,BS,Atlantic cod,1114381,Stock assessment
1980,BS,Atlantic cod,863862,Stock assessment
1981,BS,Atlantic cod,983658,Stock assessment
1982,BS,Atlantic cod,750871,Stock assessment
1983,BS,Atlantic cod,738675,Stock assessment
1984,BS,Atlantic cod,817596,Stock assessment
1985,BS,Atlantic cod,957513,Stock assessment
1986,BS,Atlantic cod,1294449,Stock assessment
1987,BS,Atlantic cod,1126053,Stock assessment
1988,BS,Atlantic cod,915105,Stock assessment
1989,BS,Atlantic cod,889738,Stock assessment
1990,BS,Atlantic cod,961667,Stock assessment
1991,BS,Atlantic cod,1561708,Stock assessment
1992,BS,Atlantic cod,1912257,Stock assessment
1993,BS,Atlantic cod,2359644,Stock assessment
1994,BS,Atlantic cod,2148154,Stock assessment
1995,BS,Atlantic cod,1807057,Stock assessment
1996,BS,Atlantic cod,1687088,Stock assessment
1997,BS,Atlantic cod,1531894,Stock assessment
1998,BS,Atlantic cod,1229614,Stock assessment
1999,BS,Atlantic cod,1100226,Stock assessment
2000,BS,Atlantic cod,1100947,Stock assessment
2001,BS,Atlantic cod,1374769,Stock assessment
2002,BS,Atlantic cod,1544017,Stock assessment
2003,BS,Atlantic cod,1617723,Stock assessment
2004,BS,Atlantic cod,1582559,Stock assessment
2005,BS,Atlantic cod,1580766,Stock assessment
2006,BS,Atlantic cod,1546829,Stock assessment
2007,BS,Atlantic cod,1814225,Stock assessment
2008,BS,Atlantic cod,2269997,Stock assessment
2009,BS,Atlantic cod,2618810,Stock assessment
1950,BS,Atlantic herring,1635100,Stock assessment
1951,BS,Atlantic herring,3007560,Stock assessment
1952,BS,Atlantic herring,6110600,Stock assessment
1953,BS,Atlantic herring,1171400,Stock assessment
1954,BS,Atlantic herring,725230,Stock assessment
1955,BS,Atlantic herring,495150,Stock assessment
1956,BS,Atlantic herring,195620,Stock assessment
1957,BS,Atlantic herring,165660,Stock assessment
1958,BS,Atlantic herring,148370,Stock assessment
1959,BS,Atlantic herring,490480,Stock assessment
1960,BS,Atlantic herring,1501460,Stock assessment
1961,BS,Atlantic herring,3233200,Stock assessment
1962,BS,Atlantic herring,1132700,Stock assessment
1963,BS,Atlantic herring,605350,Stock assessment
1964,BS,Atlantic herring,657851,Stock assessment
1965,BS,Atlantic herring,1465990,Stock assessment
1966,BS,Atlantic herring,640640,Stock assessment
1967,BS,Atlantic herring,169198,Stock assessment
1968,BS,Atlantic herring,71290,Stock assessment
1969,BS,Atlantic herring,29917,Stock assessment
1970,BS,Atlantic herring,33005,Stock assessment
1971,BS,Atlantic herring,93531,Stock assessment
1972,BS,Atlantic herring,5297,Stock assessment
1973,BS,Atlantic herring,15005,Stock assessment
1974,BS,Atlantic herring,66440,Stock assessment
1975,BS,Atlantic herring,217870,Stock assessment
1976,BS,Atlantic herring,141850,Stock assessment
1977,BS,Atlantic herring,86870,Stock assessment
1978,BS,Atlantic herring,167700,Stock assessment
1979,BS,Atlantic herring,108150,Stock assessment
1980,BS,Atlantic herring,138770,Stock assessment
1981,BS,Atlantic herring,182150,Stock assessment
1982,BS,Atlantic herring,27245,Stock assessment
1983,BS,Atlantic herring,381595,Stock assessment
1984,BS,Atlantic herring,1493630,Stock assessment
1985,BS,Atlantic herring,5090600,Stock assessment
1986,BS,Atlantic herring,318690,Stock assessment
1987,BS,Atlantic herring,373010,Stock assessment
1988,BS,Atlantic herring,248480,Stock assessment
1989,BS,Atlantic herring,439971,Stock assessment
1990,BS,Atlantic herring,578120,Stock assessment
1991,BS,Atlantic herring,1258827,Stock assessment
1992,BS,Atlantic herring,1838648,Stock assessment
1993,BS,Atlantic herring,2697395,Stock assessment
1994,BS,Atlantic herring,2124082,Stock assessment
1995,BS,Atlantic herring,826644,Stock assessment
1996,BS,Atlantic herring,374155,Stock assessment
1997,BS,Atlantic herring,552302,Stock assessment
1998,BS,Atlantic herring,787372,Stock assessment
1999,BS,Atlantic herring,2076479,Stock assessment
2000,BS,Atlantic herring,2507641,Stock assessment
2001,BS,Atlantic herring,1350739,Stock assessment
2002,BS,Atlantic herring,860250,Stock assessment
2003,BS,Atlantic herring,2373605,Stock assessment
2004,BS,Atlantic herring,5099110,Stock assessment
2005,BS,Atlantic herring,2573391,Stock assessment
2006,BS,Atlantic herring,2320735,Stock assessment
2007,BS,Atlantic herring,547668,Stock assessment
2008,BS,Atlantic herring,533900,Stock assessment
2009,BS,Atlantic herring,312432,Stock assessment
1986,BS,Beaked redfish,16885.84797,q corrected biomass
1987,BS,Beaked redfish,10762.90346,q corrected biomass
1988,BS,Beaked redfish,25745.21314,q corrected biomass
1989,BS,Beaked redfish,40696.43521,q corrected biomass
1990,BS,Beaked redfish,85447.60741,q corrected biomass
1991,BS,Beaked redfish,114754.3719,q corrected biomass
1992,BS,Beaked redfish,42816.5463,q corrected biomass
1993,BS,Beaked redfish,35030.31015,q corrected biomass
1994,BS,Beaked redfish,67222.42835,q corrected biomass
1995,BS,Beaked redfish,111418.6173,q corrected biomass
1996,BS,Beaked redfish,171000,q corrected biomass
1997,BS,Beaked redfish,73000,q corrected biomass
1998,BS,Beaked redfish,105000,q corrected biomass
1999,BS,Beaked redfish,155000,q corrected biomass
2000,BS,Beaked redfish,178000,q corrected biomass
2001,BS,Beaked redfish,162000,q corrected biomass
2002,BS,Beaked redfish,181000,q corrected biomass
2003,BS,Beaked redfish,213000,q corrected biomass
2004,BS,Beaked redfish,111000,q corrected biomass
2005,BS,Beaked redfish,103000,q corrected biomass
2006,BS,Beaked redfish,184000,q corrected biomass
2007,BS,Beaked redfish,172000,q corrected biomass
2008,BS,Beaked redfish,89000,q corrected biomass
2009,BS,Beaked redfish,200000,q corrected biomass
1972,BS,Capelin,6600000,Stock assessment
1973,BS,Capelin,5144000,Stock assessment
1974,BS,Capelin,5733000,Stock assessment
1975,BS,Capelin,7806000,Stock assessment
1976,BS,Capelin,6417000,Stock assessment
1977,BS,Capelin,4796000,Stock assessment
1978,BS,Capelin,4247000,Stock assessment
1979,BS,Capelin,4162000,Stock assessment
1980,BS,Capelin,6715000,Stock assessment
1981,BS,Capelin,3895000,Stock assessment
1982,BS,Capelin,3779000,Stock assessment
1983,BS,Capelin,4230000,Stock assessment
1984,BS,Capelin,2964000,Stock assessment
1985,BS,Capelin,860000,Stock assessment
1986,BS,Capelin,120000,Stock assessment
1987,BS,Capelin,101000,Stock assessment
1988,BS,Capelin,428000,Stock assessment
1989,BS,Capelin,864000,Stock assessment
1990,BS,Capelin,5831000,Stock assessment
1991,BS,Capelin,7287000,Stock assessment
1992,BS,Capelin,5150000,Stock assessment
1993,BS,Capelin,796000,Stock assessment
1994,BS,Capelin,200000,Stock assessment
1995,BS,Capelin,193000,Stock assessment
1996,BS,Capelin,503000,Stock assessment
1997,BS,Capelin,909000,Stock assessment
1998,BS,Capelin,2056000,Stock assessment
1999,BS,Capelin,2775000,Stock assessment
2000,BS,Capelin,4273000,Stock assessment
2001,BS,Capelin,3630000,Stock assessment
2002,BS,Capelin,2210000,Stock assessment
2003,BS,Capelin,533000,Stock assessment
2004,BS,Capelin,628000,Stock assessment
2005,BS,Capelin,324000,Stock assessment
2006,BS,Capelin,787000,Stock assessment
2007,BS,Capelin,2119000,Stock assessment
2008,BS,Capelin,4428000,Stock assessment
2009,BS,Capelin,3765000,Stock assessment
1986,BS,Golden redfish,175000,Stock assessment
1987,BS,Golden redfish,167000,Stock assessment
1988,BS,Golden redfish,163000,Stock assessment
1989,BS,Golden redfish,158000,Stock assessment
1990,BS,Golden redfish,152000,Stock assessment
1991,BS,Golden redfish,152000,Stock assessment
1992,BS,Golden redfish,153000,Stock assessment
1993,BS,Golden redfish,154000,Stock assessment
1994,BS,Golden redfish,152000,Stock assessment
1995,BS,Golden redfish,148000,Stock assessment
1996,BS,Golden redfish,144000,Stock assessment
1997,BS,Golden redfish,137000,Stock assessment
1998,BS,Golden redfish,127000,Stock assessment
1999,BS,Golden redfish,115000,Stock assessment
2000,BS,Golden redfish,104000,Stock assessment
2001,BS,Golden redfish,93000,Stock assessment
2002,BS,Golden redfish,87000,Stock assessment
2003,BS,Golden redfish,80000,Stock assessment
2004,BS,Golden redfish,73000,Stock assessment
2005,BS,Golden redfish,67000,Stock assessment
2006,BS,Golden redfish,61000,Stock assessment
2007,BS,Golden redfish,54000,Stock assessment
2008,BS,Golden redfish,48000,Stock assessment
2009,BS,Golden redfish,43000,Stock assessment
1964,BS,Greenland halibut,172936,Stock assessment
1965,BS,Greenland halibut,171360,Stock assessment
1966,BS,Greenland halibut,181481,Stock assessment
1967,BS,Greenland halibut,209629,Stock assessment
1968,BS,Greenland halibut,244357,Stock assessment
1969,BS,Greenland halibut,274338,Stock assessment
1970,BS,Greenland halibut,312358,Stock assessment
1971,BS,Greenland halibut,242821,Stock assessment
1972,BS,Greenland halibut,196247,Stock assessment
1973,BS,Greenland halibut,180315,Stock assessment
1974,BS,Greenland halibut,173145,Stock assessment
1975,BS,Greenland halibut,152745,Stock assessment
1976,BS,Greenland halibut,126133,Stock assessment
1977,BS,Greenland halibut,100845,Stock assessment
1978,BS,Greenland halibut,87203,Stock assessment
1979,BS,Greenland halibut,105009,Stock assessment
1980,BS,Greenland halibut,86210,Stock assessment
1981,BS,Greenland halibut,92194,Stock assessment
1982,BS,Greenland halibut,87871,Stock assessment
1983,BS,Greenland halibut,104233,Stock assessment
1984,BS,Greenland halibut,93518,Stock assessment
1985,BS,Greenland halibut,92643,Stock assessment
1986,BS,Greenland halibut,91902,Stock assessment
1987,BS,Greenland halibut,85288,Stock assessment
1988,BS,Greenland halibut,85033,Stock assessment
1989,BS,Greenland halibut,88855,Stock assessment
1990,BS,Greenland halibut,78185,Stock assessment
1991,BS,Greenland halibut,72592,Stock assessment
1992,BS,Greenland halibut,45641,Stock assessment
1993,BS,Greenland halibut,52285,Stock assessment
1994,BS,Greenland halibut,52462,Stock assessment
1995,BS,Greenland halibut,59750,Stock assessment
1996,BS,Greenland halibut,69264,Stock assessment
1997,BS,Greenland halibut,73879,Stock assessment
1998,BS,Greenland halibut,84287,Stock assessment
1999,BS,Greenland halibut,89189,Stock assessment
2000,BS,Greenland halibut,93051,Stock assessment
2001,BS,Greenland halibut,102300,Stock assessment
2002,BS,Greenland halibut,103785,Stock assessment
2003,BS,Greenland halibut,114843,Stock assessment
2004,BS,Greenland halibut,131119,Stock assessment
2005,BS,Greenland halibut,125675,Stock assessment
2006,BS,Greenland halibut,126875,Stock assessment
2007,BS,Greenland halibut,145727,Stock assessment
2008,BS,Greenland halibut,160481,Stock assessment
2009,BS,Greenland halibut,168467,Stock assessment
1950,BS,Haddock,234472,Stock assessment
1951,BS,Haddock,338248,Stock assessment
1952,BS,Haddock,224485,Stock assessment
1953,BS,Haddock,483448,Stock assessment
1954,BS,Haddock,509606,Stock assessment
1955,BS,Haddock,467606,Stock assessment
1956,BS,Haddock,454218,Stock assessment
1957,BS,Haddock,308640,Stock assessment
1958,BS,Haddock,259568,Stock assessment
1959,BS,Haddock,335084,Stock assessment
1960,BS,Haddock,372926,Stock assessment
1961,BS,Haddock,368279,Stock assessment
1962,BS,Haddock,324814,Stock assessment
1963,BS,Haddock,286005,Stock assessment
1964,BS,Haddock,277061,Stock assessment
1965,BS,Haddock,333334,Stock assessment
1966,BS,Haddock,362033,Stock assessment
1967,BS,Haddock,434775,Stock assessment
1968,BS,Haddock,394231,Stock assessment
1969,BS,Haddock,318870,Stock assessment
1970,BS,Haddock,263010,Stock assessment
1971,BS,Haddock,316029,Stock assessment
1972,BS,Haddock,569844,Stock assessment
1973,BS,Haddock,550424,Stock assessment
1974,BS,Haddock,547098,Stock assessment
1975,BS,Haddock,430910,Stock assessment
1976,BS,Haddock,263774,Stock assessment
1977,BS,Haddock,184025,Stock assessment
1978,BS,Haddock,196644,Stock assessment
1979,BS,Haddock,245878,Stock assessment
1980,BS,Haddock,254081,Stock assessment
1981,BS,Haddock,217294,Stock assessment
1982,BS,Haddock,165702,Stock assessment
1983,BS,Haddock,87193,Stock assessment
1984,BS,Haddock,69883,Stock assessment
1985,BS,Haddock,167669,Stock assessment
1986,BS,Haddock,325835,Stock assessment
1987,BS,Haddock,322051,Stock assessment
1988,BS,Haddock,254976,Stock assessment
1989,BS,Haddock,206733,Stock assessment
1990,BS,Haddock,167771,Stock assessment
1991,BS,Haddock,192905,Stock assessment
1992,BS,Haddock,268626,Stock assessment
1993,BS,Haddock,440276,Stock assessment
1994,BS,Haddock,550597,Stock assessment
1995,BS,Haddock,542421,Stock assessment
1996,BS,Haddock,481106,Stock assessment
1997,BS,Haddock,356545,Stock assessment
1998,BS,Haddock,256498,Stock assessment
1999,BS,Haddock,253011,Stock assessment
2000,BS,Haddock,247780,Stock assessment
2001,BS,Haddock,346238,Stock assessment
2002,BS,Haddock,428856,Stock assessment
2003,BS,Haddock,468449,Stock assessment
2004,BS,Haddock,456078,Stock assessment
2005,BS,Haddock,488506,Stock assessment
2006,BS,Haddock,442085,Stock assessment
2007,BS,Haddock,590335,Stock assessment
2008,BS,Haddock,867410,Stock assessment
2009,BS,Haddock,1084910,Stock assessment
1982,BS,Pandalid shrimps (NS),790000,q corrected biomass
1983,BS,Pandalid shrimps (NS),1037000,q corrected biomass
1984,BS,Pandalid shrimps (NS),1139000,q corrected biomass
1985,BS,Pandalid shrimps (NS),595000,q corrected biomass
1986,BS,Pandalid shrimps (NS),401000,q corrected biomass
1987,BS,Pandalid shrimps (NS),353000,q corrected biomass
1988,BS,Pandalid shrimps (NS),438000,q corrected biomass
1989,BS,Pandalid shrimps (NS),522000,q corrected biomass
1990,BS,Pandalid shrimps (NS),633000,q corrected biomass
1991,BS,Pandalid shrimps (NS),776000,q corrected biomass
1992,BS,Pandalid shrimps (NS),578000,q corrected biomass
1993,BS,Pandalid shrimps (NS),563000,q corrected biomass
1994,BS,Pandalid shrimps (NS),389000,q corrected biomass
1995,BS,Pandalid shrimps (NS),467000,q corrected biomass
1996,BS,Pandalid shrimps (NS),667000,q corrected biomass
1997,BS,Pandalid shrimps (NS),725000,q corrected biomass
1998,BS,Pandalid shrimps (NS),824000,q corrected biomass
1999,BS,Pandalid shrimps (NS),764000,q corrected biomass
2000,BS,Pandalid shrimps (NS),597000,q corrected biomass
2001,BS,Pandalid shrimps (NS),445000,q corrected biomass
2002,BS,Pandalid shrimps (NS),474000,q corrected biomass
2003,BS,Pandalid shrimps (NS),512000,q corrected biomass
2004,BS,Pandalid shrimps (NS),365000,q corrected biomass
2005,BS,Pandalid shrimps (NS),527000,q corrected biomass
2006,BS,Pandalid shrimps (NS),605000,q corrected biomass
2007,BS,Pandalid shrimps (NS),474000,q corrected biomass
2008,BS,Pandalid shrimps (NS),354000,q corrected biomass
1960,BS,Pollock,767473,Stock assessment
1961,BS,Pollock,774927,Stock assessment
1962,BS,Pollock,794132,Stock assessment
1963,BS,Pollock,894257,Stock assessment
1964,BS,Pollock,859622,Stock assessment
1965,BS,Pollock,884694,Stock assessment
1966,BS,Pollock,842688,Stock assessment
1967,BS,Pollock,812239,Stock assessment
1968,BS,Pollock,778843,Stock assessment
1969,BS,Pollock,920271,Stock assessment
1970,BS,Pollock,1032756,Stock assessment
1971,BS,Pollock,1007521,Stock assessment
1972,BS,Pollock,944517,Stock assessment
1973,BS,Pollock,911672,Stock assessment
1974,BS,Pollock,797521,Stock assessment
1975,BS,Pollock,658808,Stock assessment
1976,BS,Pollock,617215,Stock assessment
1977,BS,Pollock,540047,Stock assessment
1978,BS,Pollock,469932,Stock assessment
1979,BS,Pollock,469793,Stock assessment
1980,BS,Pollock,433652,Stock assessment
1981,BS,Pollock,523380,Stock assessment
1982,BS,Pollock,457494,Stock assessment
1983,BS,Pollock,452679,Stock assessment
1984,BS,Pollock,352057,Stock assessment
1985,BS,Pollock,274151,Stock assessment
1986,BS,Pollock,293653,Stock assessment
1987,BS,Pollock,334438,Stock assessment
1988,BS,Pollock,349010,Stock assessment
1989,BS,Pollock,308959,Stock assessment
1990,BS,Pollock,256924,Stock assessment
1991,BS,Pollock,356196,Stock assessment
1992,BS,Pollock,524271,Stock assessment
1993,BS,Pollock,638590,Stock assessment
1994,BS,Pollock,592309,Stock assessment
1995,BS,Pollock,713854,Stock assessment
1996,BS,Pollock,723160,Stock assessment
1997,BS,Pollock,712779,Stock assessment
1998,BS,Pollock,752893,Stock assessment
1999,BS,Pollock,793219,Stock assessment
2000,BS,Pollock,827990,Stock assessment
2001,BS,Pollock,904243,Stock assessment
2002,BS,Pollock,1026557,Stock assessment
2003,BS,Pollock,960039,Stock assessment
2004,BS,Pollock,967634,Stock assessment
2005,BS,Pollock,1075204,Stock assessment
2006,BS,Pollock,953186,Stock assessment
2007,BS,Pollock,912680,Stock assessment
2008,BS,Pollock,836273,Stock assessment
2009,BS,Pollock,798292,Stock assessment
1988,BS,Zooplankton (>2000 microns; 0-100m),0.57,
1989,BS,Zooplankton (>2000 microns; 0-100m),1.32,
1990,BS,Zooplankton (>2000 microns; 0-100m),0.98,
1991,BS,Zooplankton (>2000 microns; 0-100m),0.85,
1992,BS,Zooplankton (>2000 microns; 0-100m),0.94,
1993,BS,Zooplankton (>2000 microns; 0-100m),1.64,
1994,BS,Zooplankton (>2000 microns; 0-100m),1.65,
1995,BS,Zooplankton (>2000 microns; 0-100m),1.34,
1996,BS,Zooplankton (>2000 microns; 0-100m),1.44,
1997,BS,Zooplankton (>2000 microns; 0-100m),1.98,
1998,BS,Zooplankton (>2000 microns; 0-100m),1.79,
1999,BS,Zooplankton (>2000 microns; 0-100m),1.28,
2000,BS,Zooplankton (>2000 microns; 0-100m),1.33,
2001,BS,Zooplankton (>2000 microns; 0-100m),1.01,
2002,BS,Zooplankton (>2000 microns; 0-100m),1.39,
2003,BS,Zooplankton (>2000 microns; 0-100m),1.54,
2004,BS,Zooplankton (>2000 microns; 0-100m),2.05,
2005,BS,Zooplankton (>2000 microns; 0-100m),1.06,
2006,BS,Zooplankton (>2000 microns; 0-100m),1.47,
1990,BS,Zooplankton (>2000 microns; 0-bottom),0.23,
1991,BS,Zooplankton (>2000 microns; 0-bottom),0.33,
1992,BS,Zooplankton (>2000 microns; 0-bottom),0.29,
1993,BS,Zooplankton (>2000 microns; 0-bottom),0.8,
1994,BS,Zooplankton (>2000 microns; 0-bottom),0.51,
1995,BS,Zooplankton (>2000 microns; 0-bottom),0.35,
1996,BS,Zooplankton (>2000 microns; 0-bottom),0.39,
1997,BS,Zooplankton (>2000 microns; 0-bottom),0.45,
1998,BS,Zooplankton (>2000 microns; 0-bottom),0.45,
1999,BS,Zooplankton (>2000 microns; 0-bottom),0.52,
2000,BS,Zooplankton (>2000 microns; 0-bottom),0.5,
2001,BS,Zooplankton (>2000 microns; 0-bottom),0.3,
2002,BS,Zooplankton (>2000 microns; 0-bottom),0.38,
2003,BS,Zooplankton (>2000 microns; 0-bottom),0.41,
2004,BS,Zooplankton (>2000 microns; 0-bottom),0.47,
2005,BS,Zooplankton (>2000 microns; 0-bottom),0.3,
2006,BS,Zooplankton (>2000 microns; 0-bottom),0.32,
1988,BS,Zooplankton (0180-1000 microns; 0-100m),1.45,
1989,BS,Zooplankton (0180-1000 microns; 0-100m),1.02,
1990,BS,Zooplankton (0180-1000 microns; 0-100m),1.82,
1991,BS,Zooplankton (0180-1000 microns; 0-100m),1.33,
1992,BS,Zooplankton (0180-1000 microns; 0-100m),1.83,
1993,BS,Zooplankton (0180-1000 microns; 0-100m),2.87,
1994,BS,Zooplankton (0180-1000 microns; 0-100m),5.47,
1995,BS,Zooplankton (0180-1000 microns; 0-100m),4.37,
1996,BS,Zooplankton (0180-1000 microns; 0-100m),2.09,
1997,BS,Zooplankton (0180-1000 microns; 0-100m),2.94,
1998,BS,Zooplankton (0180-1000 microns; 0-100m),2.75,
1999,BS,Zooplankton (0180-1000 microns; 0-100m),2.66,
2000,BS,Zooplankton (0180-1000 microns; 0-100m),3.09,
2001,BS,Zooplankton (0180-1000 microns; 0-100m),2.71,
2002,BS,Zooplankton (0180-1000 microns; 0-100m),2.92,
2003,BS,Zooplankton (0180-1000 microns; 0-100m),1.95,
2004,BS,Zooplankton (0180-1000 microns; 0-100m),2.34,
2005,BS,Zooplankton (0180-1000 microns; 0-100m),2.94,
2006,BS,Zooplankton (0180-1000 microns; 0-100m),2.61,
1990,BS,Zooplankton (0180-1000 microns; 0-bottom),0.64,
1991,BS,Zooplankton (0180-1000 microns; 0-bottom),0.74,
1992,BS,Zooplankton (0180-1000 microns; 0-bottom),1.18,
1993,BS,Zooplankton (0180-1000 microns; 0-bottom),2.08,
