DIETS,Transient Killers,Sperm and Beaked Whales,Resident Killers,Porpoises,Belugas,Gray Whales,Humpbacks,Fin Whales,Sei whales,Right whales,Minke whales,Bowhead Whales,Sea Otters,Walrus Bd Seals,N. Fur Seal_Juv,N. Fur Seal,Steller Sea Lion_Juv,Steller Sea Lion,Resident seals,Wintering seals,Shearwater,Murres,Kittiwakes,Auklets,Puffins,Fulmars,Storm Petrels,Cormorants,Gulls,Albatross Jaeger,Sleeper shark,W. Pollock_Juv,W. Pollock,P. Cod_Juv,P. Cod,Herring_Juv,Herring,Arrowtooth_Juv,Arrowtooth,Kamchatka fl._Juv,Kamchatka fl.,Gr. Turbot_Juv,Gr. Turbot,P. Halibut_Juv,P. Halibut,YF. Sole_Juv,YF. Sole,FH. Sole_Juv,FH. Sole,N. Rock sole_Juv,N. Rock sole,AK Plaice,Dover Sole,Rex Sole,Misc. Flatfish,Alaska skate,Other skates,Sablefish_Juv,Sablefish,Eelpouts,Grenadiers,Misc. fish deep,POP,Sharpchin Rock,Northern Rock,Dusky Rock,Shortraker Rock,Rougheye Rock,Shortspine Thorns,Other Sebastes,Atka mackerel_Juv,Atka mackerel,Greenlings,Lg. Sculpins,Other sculpins,Misc. fish shallow,Octopi,Squids,Salmon returning,Salmon outgoing,Bathylagidae,Myctophidae,Capelin,Sandlance,Eulachon,Oth. managed forage,Oth. pelagic smelt,Bairdi,King Crab,Opilio,Pandalidae,NP shrimp,Sea stars,Brittle stars,Urchins dollars cucumbers,Snails,Hermit crabs,Misc. crabs,Misc. Crustacean,Benthic Amphipods,Anemones,Corals,Hydroids,Urochordata,Sea Pens,Sponges,Bivalves,Polychaetes,Misc. worms,Scyphozoid Jellies,Fish Larvae,Chaetognaths,Euphausiids,Mysids,Pelagic Amphipods,Gelatinous filter feeders,Pteropods,Copepods,Pelagic microbes,Benthic microbes,Macroalgae,Lg Phytoplankton,Sm Phytoplankton,Outside,Discards,Offal,Pelagic Detritus,Benthic Detritus,Outside Detritus
Sleeper shark,0,0.001248561,0,0,0,0,0,0.00E+00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
W. Pollock_Juv,0,0,0.05378514,0.1139171,0.2273904,0,0.1401087,0.0707549,0.09946453,0,0.2158736,0,0.01790232,0,0.3051882,0.3051882,0.03544791,0,0.01739889,0.05246551,0,0.2703081,0.2232361,0.002550183,0.1114749,0.2927758,0.01627345,0.02434087,0.001914523,0.1729958,0,0.009778796,0.044069,0.006682734,0.02866408,0,0,0.2185271,0.4691474,0.4228368,0.5805215,0.01199148,0.2714976,0,0.0190125,0,0.009977864,0.00049686,0.1676614,0,0.000928953,0,0,0,0.0317724,0.001613044,0,0,0,0.000013787,0,0,0,0,0,0,0,0,0,0,0,0,0.04730774,0.09529793,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
W. Pollock,0,0,0.4474117,0,0,0,0,0.00E+00,0,0,0,0,0.1489205,0,0,0,0.2948734,0.3303213,0.1447326,0.4364344,0,0,0,0,0,0,0,0,0,0,0.2,0,0.085132,0,0.2592845,0,0,0,0.1947673,0,0.2129396,0,0.1053442,0,0.5210401,0,0,0,0,0,0,0,0,0,0,0.4047002,0.4488254,0,0.4591611,0.003942343,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03452073,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P. Cod_Juv,0,0,0.002345179,0.004967099,0.009914842,0,0,0.00E+00,0,0,0,0,0.00078059,0,0.007121057,0.007121057,0.07028113,0.07028113,0.04535147,0.0049334,0,0.1997104,0.009733705,0.000111195,0.004860613,0.01276583,0.000709567,0.001061329,8.35E-05,0.007543092,0,0,0.000304776,0,0.000405023,0,0,0,2.50E-06,0,0,0,0,0,1.14E-05,0,1.99E-05,7.49E-07,0.000107437,0,0,0,0,0,0.000316008,0,0.0038708,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.24E-06,0.04028247,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P. Cod,0,0.05779945,0.05965832,0,0,0,0,0.00E+00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000672848,0,0.00536709,0,0,0,0.000001211,0,0,0,0.001248083,0,0.04737715,0,0,0,0,0,0,0,0,0,0,0.006387409,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000908861,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Herring_Juv,0,0,0.000289556,0.00061328,0.001224171,0,0.000754284,0.000380913,0.000535474,0,0.001162169,0,9.64E-05,0,0.06103763,0.06103763,0.03012048,0.03012048,0.02834467,0.0444006,0,4.55E-05,0.002530667,0,0,0,0,0.127011,0,0.000931334,0,0,1.63E-06,0,0.00178128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001765777,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004691551,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Herring,0,0,0.01480121,0,0,0,0,0.00E+00,0,0,0,0,0.004926565,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000893973,0,0.000361232,0,0,0,0.01342997,0,0,0,0.01223129,0,0.002626757,0,0,0,0,0,0,0,0,0,0,0.001912737,0,0,0.000365718,0.000741705,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002015942,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arrowtooth_Juv,0,0,0.002285542,0,0,0,0,0.00E+00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000044498,0,0,0,0.003421103,0,1.24E-05,0,0,0,0,0,1.30E-06,0,0,0,0,0,0,0,0,0,0,0,0.000172243,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arrowtooth,0,0,0.0228554,0,0,0,0,0.00E+00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1201747,0,0.000838499,0,0.000677303,0,0,0,2.48E-06,0,0,0,0,0,0.000895311,0,0,0,0,0,0,0,0,0,0,0.02629409,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.39E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kamchatka fl._Juv,0,0,0.000135714,0,0,0,0,0.00E+00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.11E-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kamchatka fl.,0,0,0.001357086,0,0,0,0,0.00E+00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.007135619,0,1.69E-07,0,6.47E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000274866,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gr. Turbot_Juv,0,0,0.00084541,0,0,0,0,0.00E+00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000103075,0.000136816,0,6.12E-05,0,0,0,0,0,0,0,0,0,0,0,4.40E-05,0,4.38E-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gr. Turbot,0,0,0.008454026,0,0,0,0,0.00E+00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04445163,0,0.000309692,0,3.40E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P. Halibut_Juv,0,0,0.000537045,0,0,0,0,0.00E+00,0,0,0,0,0.000178755,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.87E-06,0,0.000140199,0,0,0.000599666,0,0,0,0,0,0,1.73E-06,0,0.000151399,0,0,0,0,0.000067773,0,0,0,0.001335749,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.69E-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P. Halibut,0,0,0.005370451,0,0,0,0,0.00E+00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02823806,0,2.66E-06,0,0.000862736,0,0,0,0,0,0,0,0,0,4.10E-05,0,0,0,0,0,0,0,0,0,0,3.08E-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YF. Sole_Juv,0,0,0.0116978,0,0,0,0,0.00E+00,0,0,0,0,0,0,0.01798606,0.01798606,0.02662697,0.02662697,0.02004569,0.008722399,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000158897,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000108794,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02155076,0.009723351,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YF. Sole,0,0,0.116978,0,0,0,0,0.00E+00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.87E-07,0,0.007562348,0,0,0,0.00028668,0,0,0,0,0,0.03313586,0,0,0,0,0,0,0,0,0,0,0.006828221,0.0424821,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004515579,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FH. Sole_Juv,0,0,0.002889401,0,0,0,0,0.00E+00,0,0,0,0,0,0,0.004442625,0.004442625,0.006576958,0.006576958,0.00495136,0.002154465,0,0,0,0,0,0,0,0,0,0,0,0,5.07E-07,0,0.000553644,0,0,0.001329797,0.01132513,0,5.58E-05,0,0,0,0.000515868,0,4.45E-07,0,0.001616302,0,0,0,0,0,0,0,0,0,0,7.38E-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000178445,0,0.007394266,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FH. Sole,0,0,0.02889401,0,0,0,0,0.00E+00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000225874,0,0.002892542,0,0,0,0.000209119,0,0.000868217,0,7.56E-06,0,0.01079405,0,0,0,0,0,0,0,0,0,0,1.26E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001816332,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
N. Rock sole_Juv,0,0,0.007807001,0,0,0,0,0.00E+00,0,0,0,0,0,0,0.01200373,0.01200373,0.01777058,0.01777058,0.01337831,0.005821247,0,0,0,0,0,0,0,0,0,0,0,0,2.13E-05,0,0.000199692,0,0,1.38E-05,1.20E-05,0,0,0,0,0,0.000145486,1.20E-05,0.000412076,0,1.19E-05,0,0,0,0,0,0,0.000237555,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.007353549,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
N. Rock sole,0,0,0.07807002,0,0,0,0,0.00E+00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.16E-05,0,0.01325852,0,0,0,0.000002923,0,0,0,0,0,0.03237335,0,0,0,0,0,0,0,0,0,0,0.0849367,0.02029655,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002270878,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AK Plaice,0,0,0.02585798,0,0,0,0,0.00E+00,0,0,0,0,0,0,0.03975818,0.03975818,0.05885887,0.05885887,0.04431098,0.01928086,0,0,0,0,0,0,0,0,0,0,0,0,1.21E-08,0,0.000110255,0,0,0,0,0,0,0,0,0,0.004934937,0,0.00035249,0,2.10E-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001178524,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dover Sole,0,0,5.56E-06,0,0,0,0,0.00E+00,0,0,0,0,0,0,8.55E-06,8.55E-06,1.27E-05,1.27E-05,9.53E-06,4.15E-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rex Sole,0,0,0.000983239,0,0,0,0,0.00E+00,0,0,0,0,0,0,0.001511787,0.001511787,0.002238082,0.002238082,0.001684906,0.000733146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000970441,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Misc. Flatfish,0,0,0.003689346,0,0,0,0,0.00E+00,0,0,0,0,0,0,0.005672588,0.005672588,0.008397822,0.008397822,0.00632217,0.002750939,0,0,0,0,0,0,0,0,0,0,0,0,4.96E-07,0,0.001273026,0,0,0,0,0,0,0,0,0,0.02682414,0,1.24E-05,0,0,0,0,0,0,0,0,0.001663336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02966322,0.000989896,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alaska skate,0,0.01595553,0,0,0,0,0,0.00E+00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.70E-07,0,0,0,0,0,0,0,0,0,1.71E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Other skates,0,0.002179108,0,0,0,0,0,0.00E+00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.74E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sablefish_Juv,0,0.000156276,0,0,0,0,0,0.00E+00,0,0,0,0,0,0,0.005086469,0.005086469,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sablefish,0,0.000737366,0,0,0,0,0,0.00E+00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001025654,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Eelpouts,0,0.04392864,0,0.09603329,0.1916924,0,0,0.00E+00,0,0,0,0,0,0,0,0,0.01004016,0.01004016,0.05668934,0.05969413,0,0,0,0,0,0,0,0,0,0,0,0,0.000700801,0.000065318,0.04001129,0,0,0.00035915,0.04294955,0,0.05252801,0,0.07285777,0,0.009260783,0,7.42E-05,0.003484275,0.001888999,0,0.000695744,4.33E-05,0,0,0.04197585,0.08713441,0.03171311,0,0.000337326,0.01845699,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03330814,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Grenadiers,0,0.02270032,0,0,0,0,0,0.00E+00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,5.04E-06,0,0,0,6.21E-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Misc. fish deep,0,0.000186605,0,0,0,0,0,0.00E+00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.96E-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003680558,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
POP,0,0.003907497,0,0,0,0,0,0.00E+00,0,0,0,0,0,0,0.000778185,0.000778185,0.003072112,0.003072112,0.003450619,0,0,0.000763471,0.000763814,0.000766941,0.000763814,0.000763432,0.000763814,0.000647399,0.000763814,0,0,0,0,0,0.000111723,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sharpchin Rock,0,0.000028994,0,0,0,0,0,0.00E+00,0,0,0,0,0,0,5.77E-06,5.77E-06,2.28E-05,2.28E-05,2.56E-05,0,0,0.000005665,5.67E-06,5.69E-06,5.67E-06,5.66E-06,5.67E-06,4.80E-06,5.67E-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Northern Rock,0,0.000529788,0,0,0,0,0,0.00E+00,0,0,0,0,0,0,0.000105508,0.000105508,0.000416524,0.000416524,0.000467843,0,0,0.000103513,0.00010356,0.000103984,0.00010356,0.000103508,0.00010356,8.78E-05,0.00010356,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dusky Rock,0,1.43E-05,0,0,0,0,0,0.00E+00,0,0,0,0,0,0,2.86E-06,2.86E-06,1.13E-05,1.13E-05,1.27E-05,0,0,2.80E-06,2.80E-06,2.81E-06,2.80E-06,2.80E-06,2.80E-06,2.38E-06,2.80E-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Shortraker Rock,0,0.000222573,0,0,0,0,0,0.00E+00,0,0,0,0,0,0,4.43E-05,4.43E-05,0.000174989,0.000174989,0.000196549,0,0,4.35E-05,4.35E-05,4.37E-05,4.35E-05,4.35E-05,4.35E-05,3.69E-05,4.35E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rougheye Rock,0,8.64E-05,0,0,0,0,0,0.00E+00,0,0,0,0,0,0,1.72E-05,1.72E-05,6.80E-05,6.80E-05,7.63E-05,0,0,1.69E-05,1.69E-05,1.70E-05,1.69E-05,1.69E-05,1.69E-05,1.43E-05,1.69E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Shortspine Thorns,0,0.000108174,0,0,0,0,0,0.00E+00,0,0,0,0,0,0,0.000021543,0.000021543,8.50E-05,8.50E-05,9.55E-05,0,0,2.11E-05,2.11E-05,2.12E-05,2.11E-05,2.11E-05,2.11E-05,1.79E-05,2.11E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,8.30E-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Other Sebastes,0,0.000210323,0,0,0,0,0,0.00E+00,0,0,0,0,7.23E-05,0,4.19E-05,4.19E-05,0.000165358,0.000165358,0.000185731,0,0,4.11E-05,4.11E-05,4.13E-05,4.11E-05,4.11E-05,4.11E-05,3.48E-05,4.11E-05,0,0,0,0,0,0.000000606,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
