GroupName,Type,Biomass,PB,QB,EE,ProdCons,BioAcc,Unassim,DetInput,Discards,Offal,Pelagic Detritus,Benthic Detritus,Outside Detritus,Pollock Trawl,Cod Trawl,Cod Pots,Cod Longline,Atka Trawl,RSflats_TWL,YFSflats_TWL,ATFflats_TWL,FHSflats_TWL,Oth_Flatfish_TWL,Turbot Trawl,Turbot Longline,Sablefish Longline,Rockfish Trawl,Halibut Longline,Crab Pots,Salmon Fishery,Herring Fishery,Indigenous,Subsistence,disc_Pollock Trawl,disc_Cod Trawl,disc_Cod Pots,disc_Cod Longline,disc_Atka Trawl,disc_RSflats_TWL,disc_YFSflats_TWL,disc_ATFflats_TWL,disc_FHSflats_TWL,disc_Oth_Flatfish_TWL,disc_Turbot Trawl,disc_Turbot Longline,disc_Sablefish Longline,disc_Rockfish Trawl,disc_Halibut Longline,disc_Crab Pots,disc_Salmon Fishery,disc_Herring Fishery,disc_Indigenous,disc_Subsistence
Steller Sea Lion,0,0.001466855,0.10979,24.07415,,,0,0.2,,0,0,0.4,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.90E-05,0,2.45E-06,6.13E-07,0,2.24E-07,5.51E-08,6.70E-07,8.38E-07,4.19E-08,1.26E-07,0,5.28E-08,1.40E-09,1.00E-10,5.55E-08,0,0,0,0,0.000000049,0
Resident seals,0,0.01344924,0.082653,17.43908,,,0,0.2,,0,0,0.4,0.6,0,0,0.00E+00,0,0.00E+00,0.00E+00,0,0,0.00E+00,0,0.00E+00,0.00E+00,0.00E+00,0,0,0,0,0,0,1.48E-05,0,9.33E-08,2.33E-08,3.29E-08,4.36E-08,2.10E-09,2.55E-08,3.19E-08,1.60E-09,4.80E-09,0,0.000000002,3.00E-10,0,2.10E-09,0,0,0,0,1.48E-08,0
Wintering seals,0,0.03029022,0.068998,19.19651,,,0,0.2,,0,0,0.4,0.6,0,0.00E+00,0.00E+00,0,0,0,0,0,0.00E+00,0.00E+00,0,0,0,0,0,0,0,0,0,0.000031609,0,1.30E-07,3.25E-08,0,2.34E-08,2.90E-09,3.55E-08,4.44E-08,2.20E-09,6.70E-09,0,2.80E-09,1.00E-10,0,2.90E-09,0,0,0,0,3.16E-08,0
Shearwater,0,0.0004,0.1,73,,,0,0.2,,0,0,0.4,0.6,0,3.00E-10,0.00E+00,0,7.00E-10,0,0,0,0.00E+00,0.00E+00,0.00E+00,0,0,0,0,0,0,0,0,0,0,4.71E-08,0.000000006,0.000000003,1.45E-06,1.50E-09,0,2.90E-09,0,0,0,1.60E-09,2.72E-08,1.37E-08,0,0,0,0,0,0,0
Murres,0,0.008142997,0.1694877,72,,,0,0.2,,0,0,0.4,0.6,0,5.40E-09,0,0,1.43E-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.60E-07,1.23E-07,0.000000061,2.95E-05,3.02E-08,0,5.81E-08,0,0,0,3.17E-08,5.53E-07,2.79E-07,0,0,0,0,0,0,0
Kittiwakes,0,0.000662705,0.07688104,110,,,0,0.2,,0,0,0.4,0.6,0,4.00E-10,0,0,1.20E-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.81E-08,0.00000001,0.000000005,2.40E-06,2.50E-09,0,4.70E-09,0,0,0,2.60E-09,0.000000045,2.27E-08,0,0,0,0,0,0,0
Auklets,0,0.001754495,0.1694877,110,,,0,0.2,,0,0,0.4,0.6,0,1.20E-09,0,0,3.10E-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.07E-07,2.64E-08,1.31E-08,6.35E-06,6.50E-09,0,1.25E-08,0,0,0,6.80E-09,1.19E-07,6.01E-08,0,0,0,0,0,0,0
Puffins,0,0.000474985,0.04,73,,,0,0.2,,0,0,0.4,0.6,0,3.00E-10,0,0,8.00E-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000056,7.20E-09,3.60E-09,0.000001719,1.80E-09,0,3.40E-09,0,0,0,1.90E-09,3.23E-08,1.63E-08,0,0,0,0,0,0,0
Fulmars,0,0.000520162,0.055,73,,,0,0.2,,0,0,0.4,0.6,0,3.00E-10,0,0,9.00E-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13E-08,7.80E-09,3.90E-09,1.88E-06,1.90E-09,0,3.70E-09,0,0,0,0.000000002,3.53E-08,1.78E-08,0,0,0,0,0,0,0
Storm Petrels,0,1.75E-06,0.12,144,,,0,0.2,,0,0,0.4,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.00E-10,0,0,6.30E-09,0,0,0,0,0,0,0,1.00E-10,1.00E-10,0,0,0,0,0,0,0
Cormorants,0,0.000149799,0.1587271,73,,,0,0.2,,0,0,0.4,0.6,0,1.00E-10,0,0,3.00E-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.77E-08,2.30E-09,1.10E-09,5.42E-07,6.00E-10,0,1.10E-09,0,0,0,6.00E-10,1.02E-08,5.10E-09,0,0,0,0,0,0,0
Gulls,0,0.00010491,0.1657822,73,,,0,0.2,,0,0,0.4,0.6,0,1.00E-10,0,0,2.00E-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.24E-08,1.60E-09,8.00E-10,3.80E-07,4.00E-10,0,7.00E-10,0,0,0,4.00E-10,7.10E-09,3.60E-09,0,0,0,0,0,0,0
Albatross Jaeger,0,0.0001,0.06756634,75,,,0,0.2,,0,0,0.4,0.6,0,1.00E-10,0,0,2.00E-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.18E-08,1.50E-09,7.00E-10,3.62E-07,4.00E-10,0,7.00E-10,0,0,0,4.00E-10,6.80E-09,3.40E-09,0,0,0,0,0,0,0
Sleeper shark,0,0.0532473,0.1,3,,,0,0.2,,0,0,0.4,0.6,0,1.43E-05,0,0,1.11E-07,0,0,0,0,3.00E-10,0,0,1.06E-06,0,0,0,0,0,0,0,0,0.000238564,3.03E-05,0,0.000180588,0,0,0.000000169,5.06E-07,4.90E-06,0,8.68E-06,0.000048057,2.53E-05,5.71E-05,0.000101067,0,0,0,0,0
