GroupName,Yield,Discard
Spring phytoplankton,0,0
Su/Au phytoplankton,0,0
Bacteria,0,0
Microzooplankton,0,0
Mesozooplankton,0,0
Pelagic macrofauna,0,0
Benthic meiofauna,0,0
Benthic macrofauna,0,0
Juvenile sprat,0.0572,0
Juvenile herring,0.2832,0
Juvenile cod,0.21,0
Adult sprat,1.3608,0
Adult herring,1.22655,0
Adult cod,0.584,0
Seals,0,0
Detritus,0,0
