"","Prey","Predator","dYdY LV","dYdY DC","F/PBpred","F/PBprey","p","DietOverlap","deltaTL","pM","GCE","Prey.dY.dF","Ecosystem"
"1","Herring","Spurdog",-0.0162869014554975,-0.00138864785892314,0.874809764928292,0.4213845844627,0.208215148650068,0.050663445307453,1.27984211661406,0.00290200221584357,0.3,-0.0847294216495218,"North Sea"
"2","Herring","Large piscivorous sharks",9.95885491815867e-05,-2.45076058775863e-05,0.283260416666667,0.4213845844627,0.11385833590752,0,1.41838947833162,0.000151931393563265,0.3,-0.0847294216495218,"North Sea"
"3","Herring","Thornback & Spotted ray",-0.0960002638782538,-0.000153897205848564,0.108593667443667,0.4213845844627,0.0376008991519362,0.300092859083058,0.946966205531212,0.0023801411497702,0.339130434782609,-0.0847294216495218,"North Sea"
"4","Herring","Hake",-0.309022769569574,-0.000144291577137973,0.461285365853659,0.4213845844627,0.0265380014145386,0.0506468110227196,1.39181023670365,0.000340840850493219,0.372727272727273,-0.0847294216495218,"North Sea"
"5","Herring","Other gadoids (large)",0.545113935463683,-0.0104432256936564,0.588720155146688,0.4213845844627,0.386169548730945,0,1.08066374331703,0.0250512394013863,0.396875,-0.0847294216495218,"North Sea"
"6","Herring","Monkfish",0.367488873949248,-0.00335062445536835,0.765322278911565,0.4213845844627,0.197054747498174,0,1.36358651076992,0.00655726151968404,0.368421052631579,-0.0847294216495218,"North Sea"
"7","Herring","Horse mackerel",0.4269034937833,-0.00555981033818656,0.248035405872193,0.4213845844627,0.0434404019363575,0.0298068666841788,0.807403998399727,0.0368139337188775,0.341880341880342,-0.0847294216495218,"North Sea"
"8","Herring","Turbot and brill",0.0180717861242784,-6.50296569934307e-05,0.0919811584840655,0.4213845844627,0.0149014911921193,0.0298068666841788,1.14815700052503,0.000771763148351285,0.373913043478261,-0.0847294216495218,"North Sea"
"9","Herring","Cod",0.377272858036908,-0.00613740568693428,0.529594057057057,0.4213845844627,0.0446728742431324,0,1.14051669227298,0.0192681459257919,0.32194442833111,-0.0847294216495218,"North Sea"
"10","Herring","Whiting",0.545403580939874,-0.00464956433567587,0.245819051600573,0.4213845844627,0.0297332992422966,0.0149968748700595,0.867890438559749,0.0419408017517751,0.247496068206274,-0.0847294216495218,"North Sea"
"11","Herring","Haddock",-0.459687637387257,-0.000479762895289961,0.230669101025402,0.4213845844627,0.00368875292591034,0,0.612781283968117,0.00305849162577169,0.345289585386952,-0.0847294216495218,"North Sea"
"12","Herring","Saithe",-0.979688310949092,-0.0109687065781652,0.352390079591837,0.4213845844627,0.0876907793544374,0.298700949464388,0.68247325961419,0.0797206854183658,0.224756208316897,-0.0847294216495218,"North Sea"
"13","Sprat","Spurdog",0.00376519709943368,-0.000481477117006963,0.874809764928292,0.137871898009272,0.040760584094968,0,1.81044944455659,0.00103199999101082,0.3,0.551847831992951,"North Sea"
"14","Sprat","Small sharks",-0.0271430625169612,-3.6214248894107e-06,0.258012745098039,0.137871898009272,0.0144973595870868,0,1.32237980154835,6.50125509465458e-05,0.172297297297297,0.551847831992951,"North Sea"
"15","Sprat","Thornback & Spotted ray",0.0140187094291334,-0.000100383785566706,0.108593667443667,0.137871898009272,0.0185960968631859,0.252356547090918,1.47757353347375,0.00213835674319881,0.339130434782609,0.551847831992951,"North Sea"
"16","Sprat","Hake",0.0822196774728728,-0.000568910018288017,0.461285365853659,0.137871898009272,0.103538447738181,0,1.92241756464619,0.00241567750684482,0.372727272727273,0.551847831992951,"North Sea"
"17","Sprat","Blue whiting",0.113436970982749,-0.000546590763557134,0.30487375,0.137871898009272,0.0102020404080816,0,1.12640498323158,0.00560133842967121,0.275938189845475,0.551847831992951,"North Sea"
"18","Sprat","Gurnards",0.0670763806357857,-0.000174238803254398,0.127374263541337,0.137871898009272,0.0148225470578434,0,1.56204915410714,0.00276662393953021,0.25625,0.551847831992951,"North Sea"
"19","Sprat","Horse mackerel",-0.0265831335001649,-0.00137611736942014,0.248035405872193,0.137871898009272,0.00564525026994571,0,1.33801132634227,0.00869071423136378,0.341880341880342,0.551847831992951,"North Sea"
"20","Sprat","Turbot and brill",-0.0482575324302261,-0.000611695798659231,0.0919811584840655,0.137871898009272,0.150015012001201,0,1.67876432846757,0.0141137657868597,0.373913043478261,0.551847831992951,"North Sea"
"21","Sprat","Megrim",-0.0427820565653836,-0.00104597652669384,0.141817238562091,0.137871898009272,0.342182578891316,0.131126225245049,1.50536822089267,0.027320276804491,0.232258064516129,0.551847831992951,"North Sea"
"22","Sprat","Halibut",0.00357804896069082,-9.39511753918355e-05,0.251196022727273,0.137871898009272,0.0502255598820621,0,1.93054547464017,0.00394234805546411,0.0509554140127388,0.551847831992951,"North Sea"
"23","Sprat","Cod",-0.378261442146844,-0.00335895202186467,0.529594057057057,0.137871898009272,0.0120971969396038,0.0434404019363576,1.67112402021551,0.00947839187536727,0.32194442833111,0.551847831992951,"North Sea"
"24","Sprat","Whiting",0.0296180665255785,-0.0178782823944071,0.245819051600573,0.137871898009272,0.0954279418196249,0,1.39849776650229,0.244524884279012,0.247496068206274,0.551847831992951,"North Sea"
"25","Sprat","Saithe",0.0100800846485812,-0.0147315021091958,0.352390079591837,0.137871898009272,0.0957474983646284,0,1.21308058755673,0.158124224377073,0.224756208316897,0.551847831992951,"North Sea"
"26","Squid & cuttlefish","Spurdog",-0.0773758150430475,-0.000763619757214081,0.874809764928292,0.00597390833333333,0.023111671394054,0.169456123448291,0.884117878688103,0.00214576204316513,0.3,0.0799006379163986,"North Sea"
"27","Squid & cuttlefish","Large piscivorous sharks",-0.000394677845365392,-0.000170956204365556,0.283260416666667,0.00597390833333333,0.206654459433704,0.166817804073855,1.02266524040567,0.00183692852829959,0.3,0.0799006379163986,"North Sea"
"28","Squid & cuttlefish","Small sharks",-0.229120209165862,-2.12033346155873e-05,0.258012745098039,0.00597390833333333,0.0273015909166621,0.204035849225101,0.39604823567986,0.000448959495073999,0.172297297297297,0.0799006379163986,"North Sea"
