stockid,tsn,scientificname,commonname,areaid,stocklong,region,inmyersdb,myersstockid
HOKIENZ,623193,Macruronus novaezelandiae,Hoki,New Zealand-MFish-ENZ,Hoki Eastern New Zealand,New Zealand,0,NA
HOKIWNZ,623193,Macruronus novaezelandiae,Hoki,New Zealand-MFish-WNZ,Hoki Western New Zealand,New Zealand,0,NA
ILLEXNWATLC,82521,Illex illecebrosus,Northern shortfin squid,USA-NMFS-NWATLC,Northern shortfin squid Northwestern Atlantic Coast,US East Coast,0,NA
JANCHOPJPN,161835,Engraulis japonicus,Japanese anchovy,Japan-FAFRFJ-PJPN,Japanese anchovy Pacific Coast of Japan,Russia Japan,0,
JANCHOSETO,161835,Engraulis japonicus,Japanese anchovy,Japan-FAFRFJ-SETO,Japanese anchovy Inland Sea of Japan,Russia Japan,0,
JANCHOTSST,161835,Engraulis japonicus,Japanese anchovy,Japan-FAFRFJ-TSST,Japanese anchovy Tsushima Strait,Russia Japan,0,
JMACKPJPN,642012,Trachurus japonicus,Japanese jack mackerel,Japan-FAFRFJ-PJPN,Jack mackerel Pacific Coast of Japan,Russia Japan,0,NA
JMACKTSST,642012,Trachurus japonicus,Japanese jack mackerel,Japan-FAFRFJ-TSST,Japanese jack mackerel Tsushima Strait,Russia Japan,0,
KELPGREENLINGORECOAST,167110,Hexagrammos decagrammus,Kelp greenling,USA-NMFS-ORECOAST,Kelp greenling Oregon Coast,US West Coast,0,
KINGKLIPSA,165001,Genypterus capensis,Kingklip,South Africa-DETMCM-SA,Kingklip South Africa,South Africa,0,
KMACKGM,172435,Scomberomorus cavalla,King Mackerel,USA-NMFS-GM,King mackerel Gulf of Mexico,US Southeast/Gulf,0,NA
KMACKSATLC,172435,Scomberomorus cavalla,King Mackerel,USA-NMFS-SATLC,King mackerel Southern Atlantic Coast,US Southeast/Gulf,0,NA
LINGCODNPCOAST,167116,Ophiodon elongatus,Lingcod,USA-NMFS-NPCOAST,Lingcod Northern Pacific Coast,US West Coast,0,
LINGCODSPCOAST,167116,Ophiodon elongatus,Lingcod,USA-NMFS-SPCOAST,Lingcod Southern Pacific Coast,US West Coast,0,
LNOSESKAPCOAST,160851,Raja rhina,Longnose skate,USA-NMFS-PCOAST,Longnose skate Pacific Coast,US West Coast,0,NA
LOBSTERGB,97314,Homarus americanus,American lobster,USA-NMFS-5Z,American lobster Georges Bank,US East Coast,0,
LOBSTERGOM,97314,Homarus americanus,American lobster,USA-NMFS-5Y,American lobster Gulf of Maine,US East Coast,0,
LOBSTERSNE,97314,Homarus americanus,American lobster,USA-NMFS-SNE,American lobster Southern New England,US East Coast,0,
LSKAT5YCHATT,564130,Leucoraja erinacea,Little skate,USA-NMFS-5YCHATT,Little skate Gulf of Maine / Cape Hatteras,US East Coast,0,
LSTHORNHPCOAST,166784,Sebastolobus altivelis,Longspine thornyhead,USA-NMFS-PCOAST,Longspine thornyhead Pacific Coast,US West Coast,0,
MACKGOMCHATT,172414,Scomber scombrus,Mackerel,USA-NMFS-5YCHATT,Atlantic mackerel Gulf of Maine / Cape Hatteras,US East Coast,1,MACK2-6
MACKNEICES,172414,Scomber scombrus,Mackerel,multinational-ICES-IIa-IIIabd-IV-Vb-VI-VII-VIIIabcde-XII-XIV-Ixa,Mackerel ICES Northeast Atlantic,European Union,1,MACKNEICES
MEG8c9a,172835,Lepidorhombus whiffiagonis,Megrim,multinational-ICES-VIIIc-IXa,Megrim ICES VIIIc-IXa,European Union,1,MEG8c9a
MENATGM,161734,Brevoortia patronus,Gulf menhaden,USA-NMFS-GM,Gulf menhaden Gulf of Mexico,US Southeast/Gulf,1,MENGULF
MENATLAN,161732,Brevoortia tyrannus,Atlantic menhaden,USA-NMFS-ATL,Atlantic menhaden Atlantic,US East Coast,1,MENATLAN
MONK2J3KLNOPs,164499,Lophius americanus,Monkfish,Canada-DFO-2J3KLNOPs,Monkfish Labrador Shelf - Grand Banks - St. Pierre Bank,Canada East Coast,0,NA
MONK5YCHATT,164499,Lophius americanus,Monkfish,USA-NMFS-5YCHATT,Monkfish Gulf of Maine / Cape Hatteras,US East Coast,0,
MONKGOMNGB,164499,Lophius americanus,Monkfish,USA-NMFS-GOMNGB,Monkfish Gulf of Maine / Northern Georges Bank,US East Coast,0,
MONKSGBMATL,164499,Lophius americanus,Monkfish,USA-NMFS-SGBMATL,Monkfish Southern Georges Bank / Mid-Atlantic,US East Coast,0,
MORWONGSE,170262,Nemadactylus macropterus,Jackass morwong,Australia-AFMA-SE,Jackass morwong Southeast Australia,Australia,0,
MULLQNSW,170335,Mugil cephalus,Sea Mullet,Australia-DPIF-QNSW,Sea Mullet Queensland and New South Wales,Australia,0,
MUTSNAPSATLCGM,168849,Lutjanus analis,Mutton snapper,USA-NMFS-SATLCGM,Mutton snapper Southern Atlantic coast and Gulf of Mexico,US Southeast/Gulf,0,NA
NPOUTNS,164756,Trisopterus esmarkii,Norway pout,multinational-ICES-IV,Norway pout North Sea,European Union,1,NPOUTNS
NROCKBSAI,166735,Sebastes polyspinis,Northern rockfish,USA-NMFS-BSAI,Northern rockfish Bering Sea and Aleutian Islands,US Alaska,0,NA
NROCKGA,166735,Sebastes polyspinis,Northern rockfish,USA-NMFS-GA,Northern rockfish Gulf of Alaska,US Alaska,0,NA
NRSOLEEBSAI,616392,Lepidopsetta polyxystra,Northern rock sole,USA-NMFS-EBSAI,Northern rock sole Eastern Bering Sea and Aleutian Islands,US Alaska,0,NA
NZLINGESE,165000,Genypterus blacodes,Ling,Australia-AFMA-SE,New Zealand ling Eastern half of Southeast Australia,Australia,0,
NZLINGLIN3-4,165000,Genypterus blacodes,Ling,New Zealand-MFish-LIN3-4,New Zealand ling New Zealand Areas LIN 3 and 4,New Zealand,0,
NZLINGLIN5-6,165000,Genypterus blacodes,Ling,New Zealand-MFish-LIN5-6,New Zealand ling New Zealand Areas LIN 5 and 6,New Zealand,0,
NZLINGLIN6b,165000,Genypterus blacodes,Ling,New Zealand-MFish-LIN6b,New Zealand ling New Zealand Area LIN 6b,New Zealand,0,
NZLINGLIN72,165000,Genypterus blacodes,Ling,New Zealand-MFish-LIN72,New Zealand ling New Zealand Area LIN 72,New Zealand,0,
NZLINGLIN7WC,165000,Genypterus blacodes,Ling,New Zealand-MFish-LIN7WC-WCSI,New Zealand ling New Zealand Area LIN 7WC - WCSI,New Zealand,0,
NZLINGWSE,165000,Genypterus blacodes,Ling,Australia-AFMA-WSE,New Zealand ling Western half of Southeast Australia,Australia,0,
NZSNAPNZ8,169231,Chrysophrys auratus,New Zealand snapper,New Zealand-MFish-8,New Zealand snapper New Zealand Area 8,New Zealand,0,
OFLOUNECS,172744,Paralichthys olivaceus,Olive flounder,Japan-FAFRFJ-ECS,Olive flounder East China Sea,Russia Japan,0,
OFLOUNNSJ,172744,Paralichthys olivaceus,Olive flounder,Japan-FAFRFJ-NSJ,Olive flounder Sea of Japan North,Russia Japan,0,
OFLOUNPAC,172744,Paralichthys olivaceus,Olive flounder,Japan-FAFRFJ-PAC,Olive flounder Pacific Ocean,Russia Japan,0,
OFLOUNSETO,172744,Paralichthys olivaceus,Olive flounder,Japan-FAFRFJ-SETO,flounder Inland Sea of Japan,Russia Japan,0,
OPOUTNWATLC,630979,Zoarces americanus,Ocean pout,USA-NMFS-NWATLC,Ocean pout Northwestern Atlantic Coast,US East Coast,0,NA
OROUGHYCASCADE,166139,Hoplostethus atlanticus,Orange roughy,Australia-AFMA-CASCADE,Orange roughy Cascade Plateau,Australia,0,
OROUGHYCR,166139,Hoplostethus atlanticus,orange roughy,New Zealand-MFish-CR,Orange Roughy Chatham Rise,New Zealand,0,
OROUGHYNZMEC,166139,Hoplostethus atlanticus,Orange roughy,New Zealand-MFish-NZMEC,Orange roughy New Zealand Mid East Coast,New Zealand,0,
OROUGHYSE,166139,Hoplostethus atlanticus,Orange roughy,Australia-AFMA-SE,Orange roughy Southeast Australia,Australia,0,
PACBTUNA,172422,Thunnus orientalis,pacific bluefin tuna,Multinational-ISC-PAC,Pacific bluefin tuna Pacific Ocean,Pacific Ocean,0,
PANCHPERUNC,551340,Engraulis ringens,Peruvian anchoveta,Peru-IMARPE-NC,Peruvian anchoveta North-Central Peru,South America,1,PANCHNCS
PANDALGOM,96967,Pandalus borealis,Northern shrimp,USA-NMFS-5Y,Northern shrimp Gulf of Maine,US East Coast,0,
PATGRENADIERCH,550662,Macruronus magellanicus,hoki or grenadier,multinational-SPRFMO-CH,Patagonian grenadier Chile,South America,0,
PATGRENADIERSARG,550662,Macruronus magellanicus,Patagonian grenadier,Argentina-CFP-ARG-S,Patagonian grenadier Southern Argentina,South America,0,NA
PAUANPAU5A,-996,Haliotis iris,black foot paua,New Zealand-MFish-NPAU5A,Black Foot Paua NZ North PAUA5A,New Zealand,0,
PAUAPAU5B,-997,Haliotis iris,New Zealand abalone species,New Zealand-MFish-PAU5B,New Zealand abalone species New Zealand Area PAU 5B,New Zealand,0,
PAUAPAU5D,-997,Haliotis iris,New Zealand abalone species,New Zealand-MFish-PAU5D,New Zealand abalone species New Zealand Area PAU 5D,New Zealand,0,
PAUAPAU7,-997,Haliotis iris,New Zealand abalone species,New Zealand-MFish-PAU7,New Zealand abalone species New Zealand Area PAU 7,New Zealand,0,
PAUASPAU5A,-996,Haliotis iris,black foot paua,New Zealand-MFish-SPAU5A,Black Foot Paua NZ South PAUA5A,New Zealand,0,
PCODBSAI,164711,Gadus macrocephalus,Pacific cod,USA-NMFS-BSAI,Pacific cod Bering Sea and Aleutian Islands,US Alaska,0,NA
PCODGA,164711,Gadus macrocephalus,Pacific cod,USA-NMFS-GA,Pacific cod Gulf of Alaska,US Alaska,1,PCODGA
PCODHS,164711,Gadus macrocephalus,Pacific cod,Canada-DFO-HS,Pacific cod Hecate Strait,Canada West Coast,1,PCODHS
PCODWCVANI,164711,Gadus macrocephalus,Pacific cod,Canada-DFO-WCVANI,Pacific cod West Coast of Vancouver Island,Canada West Coast,1,PCOWCVANI
PERCHEBSAI,166707,Sebastes alutus,Pacific Ocean perch,USA-NMFS-EBSAI,Pacific Ocean perch Eastern Bering Sea and Aleutian Islands,US Alaska,1,PERCHALI
PGEODWA,81777,Panopea generosa,Pacific Geoduck,USA-US State-WA,Pacific Geoduck Washington,US West Coast,0,
PHAKEPCOAST,164792,Merluccius productus,Pacific hake,USA-NMFS-PCOAST,Pacific hake Pacific Coast,US West Coast,1,PHAKEVANCON
PHALNPAC,172932,Hippoglossus stenolepis,Pacific halibut,multinational-IPHC-NPAC,Pacific halibut North Pacific,US Alaska,1,PHALCANUS
PILCHPJPN,551222,Sardinops melanostictus,Japanese sardine,Japan-FAFRFJ-PJPN,South american pilchard Pacific Coast of Japan,Russia Japan,0,NA
PILCHTSST,551222,Sardinops melanostictus,Japanese sardine,Japan-FAFRFJ-TSST,Japanese pilchard Tsushima Strait,Russia Japan,0,
PINKSHRIMPGM,551574,Farfantepenaeus duorarum,Pink shrimp,USA-NMFS-GM,Pink shrimp Gulf of Mexico,US Southeast/Gulf,0,NA
PLAIC7d,172902,Pleuronectes platessa,European Plaice,multinational-ICES-VIId,European Plaice ICES VIId,European Union,1,PLAIC7d
PLAICCELT,172902,Pleuronectes platessa,European Plaice,multinational-ICES-VIIf-g,European Plaice ICES VIIf-g,European Union,0,NA
PLAICECHW,172902,Pleuronectes platessa,European Plaice,multinational-ICES-VIIe,European Plaice ICES VIIe,European Union,0,NA
PLAICIIIa,172902,Pleuronectes platessa,European Plaice,multinational-ICES-IIIa,European Plaice ICES IIIa,European Union,1,PLAICIIIa
PLAICIS,172902,Pleuronectes platessa,European Plaice,multinational-ICES-VIIa,European Plaice Irish Sea,European Union,1,PLAICIS
PLAICNS,172902,Pleuronectes platessa,European Plaice,multinational-ICES-IV,European Plaice North Sea,European Union,1,PLAICNS
POLL4VWX5,164727,Pollachius virens,Pollock,Canada-DFO-4VWX5,Pollock NAFO-4VWX5,Canada East Coast,1,POLL4VWX5
POLL4X5YZ,164727,Pollachius virens,Pollock,Canada-DFO-4X5YZ,Pollock NAFO-4X5YZ,Canada East Coast,0,NA
POLL5YZ,164727,Pollachius virens,Pollock,USA-NMFS-5YZ,Pollock NAFO-5YZ,US East Coast,0,NA
POLLFAPL,164727,Pollachius virens,Pollock,multinational-ICES-Vb1,Pollock Faroe Plateau,Europe non EU,1,POLLFA
POLLIEG,164727,Pollachius virens,Pollock or saithe,multinational-ICES-Va,Pollock or saithe Iceland Grounds,Europe non EU,0,
POLLNEAR,164727,Pollachius virens,Pollock,multinational-ICES-I-II,Pollock Northeast Arctic,Europe non EU,1,POLLNEAR
POLLNS-VI-IIIa,164727,Pollachius virens,Pollock,multinational-ICES-IIIa-IV-VI,"Pollock ICES IIIa, VI and North Sea",European Union,1,POLLNS
POPERCHGA,166707,Sebastes alutus,Pacific ocean perch,USA-NMFS-GA,Pacific ocean perch Gulf of Alaska,US Alaska,1,PERCHGA
POPERCHPCOAST,166707,Sebastes alutus,Pacific ocean perch,USA-NMFS-PCOAST,Pacific ocean perch Pacific Coast,US West Coast,1,PERCHWUS
PSOLEPCOAST,172868,Eopsetta jordani,Petrale sole,USA-NMFS-PCOAST,Petrale sole Pacific Coast,US West Coast,0,
PTOOTHFISHMI,642807,Dissostichus eleginoides,Patagonian toothfish,Australia-AFMA-MI,Patagonian toothfish Macquarie Island,Australia,0,NULL
PTOOTHFISHPEI,642807,Dissostichus eleginoides,Patagonian toothfish,South Africa-DETMCM-PEI,Patagonian toothfish South Africa Subantarctic Prince Edward Islands,South Africa,0,
QUAHATLC,81343,Arctica islandica,Ocean quahog,USA-NMFS-ATLC,Ocean quahog Atlantic Coast,US East Coast,0,NA
RBRMECS,647892,Pagrus major,Red seabream,Japan-FAFRFJ-ECS,Red seabream East China Sea,Russia Japan,0,
RBRMSETOE,647892,Pagrus major,Red seabream,Japan-FAFRFJ-SETOE,Red seabream Inland Sea of Japan (East),Russia Japan,0,
RBRMSETOW,647892,Pagrus major,Red seabream,Japan-FAFRFJ-SETOW,Red seabream Inland Sea of Japan (West),Russia Japan,0,
RDEEPCRABNWATL,620992,Chaceon quinquedens,Red deepsea crab,USA-NMFS-NWATL,Red deepsea crab Northwestern Atlantic,US East Coast,0,NA
REDDEEPI-II,166756,Sebastes mentella,Deepwater Redfish,multinational-ICES-I-II,Deepwater Redfish Northeast Arctic,Europe non EU,1,REDI\_II
REDFISHSPP1,166705,Sebastes spp,Redfish species,multinational-NAFO-1,Redfish species NAFO 1,European Union,0,NA
REDFISHSPP23K,166705,Sebastes spp,Redfish species,Canada-DFO-23K,Redfish species NAFO 23K,Canada East Coast,0,NA
REDFISHSPP3LN,166705,Sebastes spp,Redfish species,multinational-NAFO-3LN,Redfish species NAFO 3LN,Canada East Coast,0,NA
REDFISHSPP3M,166705,Sebastes spp,Redfish species,multinational-NAFO-3M,Redfish species NAFO 3M,Canada East Coast,1,RED3M
REDFISHSPP3Pn4RSTVn,166705,Sebastes spp,Redfish species,Canada-DFO-3Pn4RSTVn,Redfish species NAFO 3Pn4RSTVn,Canada East Coast,0,NA
REXSOLEGA,172978,Glyptocephalus zachirus,Rex sole,USA-NMFS-GA,Rex sole Gulf of Alaska,US Alaska,0,NA
REYEROCKBSAI,166706,Sebastes aleutianus,Rougheye rockfish,USA-NMFS-BSAI,Rougheye rockfish Bering Sea and Aleutian Islands,US Alaska,0,NA
REYEROCKGA,166706,Sebastes aleutianus,Rougheye rockfish,USA-NMFS-GA,Rougheye rockfish Gulf of Alaska,US Alaska,0,NA
RGROUPGM,167702,Epinephelus morio,Red grouper,USA-NMFS-GM,Red grouper Gulf of Mexico,US Southeast/Gulf,0,
RHERRTSST,161743,Etrumeus teres,Round herring,Japan-FAFRFJ-TSST,Round herring Tsushima Strait,Russia Japan,0,
RKCRABBB,97935,Paralithodes camtschaticus,Red king crab,USA-NMFS-BB,Red king crab Bristol Bay,US Alaska,1,RKCRABBRIS
RKCRABNS,97935,Paralithodes camtschaticus,Red king crab,USA-NMFS-NS,Red king crab Norton Sound,US Alaska,0,
RKCRABPI,97935,Paralithodes camtschaticus,Red king crab,USA-NMFS-PI,Red king crab Pribilof Islands,US Alaska,0,
RPORGYSATLC,169207,Pagrus pagrus,Red porgy,USA-NMFS-SATLC,Red porgy Southern Atlantic coast,US Southeast/Gulf,0,NA
RROCKLOBSTERCRA1,660225,Jasus edwardsii,Red rock lobster,New Zealand-MFish-CRA1,Red rock lobster New Zealand area CRA1,New Zealand,0,
RROCKLOBSTERCRA2,660225,Jasus edwardsii,Red rock lobster,New Zealand-MFish-CRA2,Red rock lobster New Zealand area CRA2,New Zealand,0,
RROCKLOBSTERCRA3,660225,Jasus edwardsii,Red rock lobster,New Zealand-MFish-CRA3,Red rock lobster New Zealand area CRA3,New Zealand,0,
RROCKLOBSTERCRA4,660225,Jasus edwardsii,Red rock lobster,New Zealand-MFish-CRA4,Red rock lobster New Zealand area CRA4,New Zealand,0,
RROCKLOBSTERCRA5,660225,Jasus edwardsii,Red rock lobster,New Zealand-MFish-CRA5,Red rock lobster New Zealand area CRA5,New Zealand,0,
RROCKLOBSTERCRA7,660225,Jasus edwardsii,Red rock lobster,New Zealand-MFish-CRA7,Red rock lobster New Zealand area CRA7,New Zealand,0,
RROCKLOBSTERCRA8,660225,Jasus edwardsii,Red rock lobster,New Zealand-MFish-CRA8,Red rock lobster New Zealand area CRA8,New Zealand,0,
RROCKLOBSTERSAUSNZ,660225,Jasus edwardsii,Rock Lobster,Australia-SARDI-SAUSNZ,Rock Lobster South Australia Northern Zone,Australia,0,
RROCKLOBSTERSAUSSZ,660225,Jasus edwardsii,Rock Lobster,Australia-SARDI-SAUSSZ,Rock Lobster South Australia Southern Zone,Australia,0,
RSKATMATLC,564136,Leucoraja garmani,Rosette skate,USA-NMFS-MATLC,Rosette skate Mid-Atlantic Coast,US East Coast,0,
RSNAPEGM,168853,Lutjanus campechanus,Red snapper,USA-NMFS-EGM,Red snapper Eastern Gulf of Mexico,US Alaska,0,NA
RSNAPSATLC,168853,Lutjanus campechanus,Red snapper,USA-NMFS-SATLC,Red snapper Southern Atlantic coast,US Southeast/Gulf,0,NA
RSNAPWGM,168853,Lutjanus campechanus,Red snapper,USA-NMFS-WGM,Red snapper Western Gulf of Mexico,US Southeast/Gulf,0,NA
RSOLEHSTR,172917,Lepidopsetta bilineata,Rock sole,Canada-DFO-HS,Rock sole Hecate Strait,Canada West Coast,0,NA
SAABALONESA,-995,Haliotis midae,South African abalone,South Africa-DETMCM-SA,Abalone South Africa,South Africa,0,
SABLEFEBSAIGA,167123,Anoplopoma fimbria,Sablefish,USA-NMFS-EBSAIGA,Sablefish Eastern Bering Sea / Aleutian Islands / Gulf of Alaska,US Alaska,0,NA
SABLEFPCAN,167123,Anoplopoma fimbria,Sablefish,Canada-DFO-PCOAST,Sablefish Pacific Coast of Canada,Canada West Coast,1,SABLEFPCAN
SABLEFPCOAST,167123,Anoplopoma fimbria,Sablefish,USA-NMFS-PCOAST,Sablefish Pacific Coast,US West Coast,1,SABLEFUSA
SAILEATL,550888,Istiophorus albicans,Sailfish,multinational-ICCAT-EATL,Sailfish Eastern Atlantic,Atlantic Ocean,0,
SAILWATL,550888,Istiophorus albicans,Sailfish,multinational-ICCAT-WATL,Sailfish Western Atlantic,Atlantic Ocean,0,
SARDPCOAST,161729,Sardinops sagax,Pacific sardine,USA-NMFS-PCOAST,Pacific sardine Pacific Coast,US West Coast,0,NA
SARDPVIIIc-IXa,161813,Sardina pilchardus,European pilchard,multinational-ICES-VIIIc-IXa,European pilchard ICES VIIIc-IXa,European Union,1,SARDVIIIc-IXa
SARDSA,161729,Sardinops sagax,Sardine,South Africa-DETMCM-SA,Sardine South Africa,South Africa,1,SAPILCH
SAURNWPAC,165609,Cololabis saira,Pacific saury,Japan-FAFRFJ-NWPAC,Pacific saury Northwest Pacific,Russia Japan,0,
SBARSHARATL,160289,Carcharhinus plumbeus,Sandbar shark,USA-NMFS-ATL,Sandbar shark Atlantic,Atlantic Ocean,0,NA
SBELLYROCKPCOAST,166725,Sebastes jordani,Shortbelly rockfish,USA-NMFS-PCOAST,Shortbelly rockfish Pacific Coast,US West Coast,0,NA
SBT,172431,Thunnus maccoyii,Southern bluefin tuna,multinational-CCSBT-SO,Southern bluefin tuna Southern Oceans,Indian Ocean,0,NULL
SBWHITACIR,164775,Micromesistius australis,Southern blue whiting,New Zealand-MFish-CIR,Southern blue whiting Campbell Island Rise,New Zealand,0,
SBWHITARGS,164775,Micromesistius australis,Southern blue whiting,Argentina-CFP-ARG-S,Southern blue whiting Southern Argentina,South America,0,NA
SCALLGB,79718,Placopecten magellanicus,Sea scallop,Canada-DFO-5Z,Sea scallop Georges Bank,Canada East Coast,0,
SCALLMATLC,79718,Placopecten magellanicus,Sea scallop,USA-NMFS-MATLC,Sea scallop Mid-Atlantic Coast,US East Coast,0,
SCMPBP,552935,Metanephrops challengeri,Scampi,New Zealand-MFish-BOP,Scami Bay of Plenty,New Zealand,0,
SCMPWHB,552935,Metanephrops challengeri,Scampi,New Zealand-MFish-WHB,Scampi Wairapa/Hawke Bay,New Zealand,0,
SCUPNWATLC,169182,Stenotomus chrysops,Scup,USA-NMFS-NWATLC,Scup Atlantic Coast,US East Coast,1,SCUP
SDOGATLC,160617,Squalus acanthias,Spiny dogfish,USA-NMFS-ATLC,Spiny dogfish Atlantic Coast,US East Coast,1,SDOGNWATL
SEELNSSA1,171677,Ammodytes marinus,Sand lance,multinational-ICES-IV,Sandeel North Sea Area 1,European Union,0,
SEELNSSA2,171677,Ammodytes marinus,Sand lance,multinational-ICES-IV,Sandeel North Sea Area 2,European Union,0,
SEELNSSA3,171677,Ammodytes marinus,Sand lance,multinational-ICES-IV,Sandeel North Sea Area 3,European Union,0,
SFLOUNMATLC,172735,Paralichthys dentatus,Summer flounder,USA-NMFS-MATLC,Summer flounder Mid-Atlantic Coast,US East Coast,1,SFLOUNDMAB
SFMAKONWPAC,159924,Isurus oxyrinchus,Shortfin mako,multinational-UNKNOWN-NWPAC,Shortfin mako Nothwest Pacific Ocean,Pacific Ocean,0,
SHAKEGOMNGB,164791,Merluccius bilinearis,Silver Hake,USA-NMFS-5YZ,Silver hake Gulf of Maine / Northern Georges Bank,US East Coast,0,NA
SHAKESGBMATL,164791,Merluccius bilinearis,Silver Hake,USA-NMFS-SGBMATL,Silver hake Southern Georges Bank / Mid-Atlantic,US East Coast,1,SHAKEMAB
SILVERFISHSE,172534,Seriolella punctata,Silverfish,Australia-AFMA-SE,Silverfish Southeast Australia,Australia,0,
SKJCIO,172401,Katsuwonus pelamis,skipjack tuna,multinational-IOTC-IO,Skipjack tuna Indian Ocean,Indian Ocean,0,
SKJCWPAC,172401,Katsuwonus pelamis,Skipjack tuna,multinational-WCPFC-CWPAC,Skipjack tuna Central Western Pacific,Pacific Ocean,0,NA
SKJEATL,172401,Katsuwonus pelamis,Skipjack tuna,multinational-ICCAT-EATL,Skipjack tuna Eastern Atlantic,Atlantic Ocean,0,
SKJWATL,172401,Katsuwonus pelamis,Skipjack tuna,multinational-ICCAT-WATL,Skipjack tuna Western Atlantic,Atlantic Ocean,0,
SMOOTHOREOBP,625280,Pseudocyttus maculatus,Smooth oreo,New Zealand-MFish-BP,Smooth Oreo Bounty Plateau,New Zealand,0,
SMOOTHOREOCR,625280,Pseudocyttus maculatus,Smooth oreo,New Zealand-MFish-CR,Smooth oreo Chatham Rise,New Zealand,0,
SMOOTHOREOEPR,625280,Pseudocyttus maculatus,Smooth oreo,New Zealand-MFish-EPR,Smooth Oreo East Pukaki Rise,New Zealand,0,
SMOOTHOREOSLD,625280,Pseudocyttus maculatus,Smooth oreo,New Zealand-MFish-SLD,Smooth Oreo Southland,New Zealand,0,
SMOOTHOREOWECR,625280,Pseudocyttus maculatus,Smooth oreo,New Zealand-MFish-WECR,Smooth oreo West end of Chatham Rise,New Zealand,0,
SNAPSAUSNSG,169231,Chrysophrys auratus,Snapper,Australia-SARDI-SAUSNSG,Snapper Northern Spencer Gulf,Australia,0,
SNAPSAUSSGSV,169231,Chrysophrys auratus,Snapper,Australia-SARDI-SAUSSGSV,Snapper Southern Gulf St. Vincent,Australia,0,
SNAPSAUSSSG,169231,Chrysophrys auratus,Snapper,Australia-SARDI-SAUSSSG,Snapper Southern Spencer Gulf,Australia,0,
SNOSESHARATL,160200,Rhizoprionodon terraenovae,Atlantic sharpnose shark,USA-NMFS-ATL,Atlantic sharpnose shark Atlantic,Atlantic Ocean,0,NA
SNOWCRAB2J,98428,Chionoecetes opilio,Snow Crab,Canada-DFO-2J,Snow Crab Division 2J,Canada East Coast,0,
SNOWCRAB3K,98428,Chionoecetes opilio,Snow Crab,Canada-DFO-3K,Snow Crab Division 3K,Canada East Coast,0,
SNOWCRAB3NO,98428,Chionoecetes opilio,Snow Crab,Canada-DFO-3NO,Snow Crab Division 3NO,Canada East Coast,0,
SNOWCRAB3Ps,98428,Chionoecetes opilio,Snow Crab,Canada-DFO-3Ps,Snow Crab Division 3Ps,Canada East Coast,0,
SNOWCRABBS,98428,Chionoecetes opilio,Snow crab,USA-NMFS-BS,Snow crab Bering Sea,US Alaska,0,NA
SNOWCRABSGSL,98428,Chionoecetes opilio,Snow crab,Canada-DFO-4T,Snow crab Southern Gulf of St. Lawrence,Canada East Coast,0,
SNOWGROUPSATLC,167705,Epinephelus niveatus,Snowy grouper,USA-NMFS-SATLC,Snowy grouper Southern Atlantic coast,US Southeast/Gulf,0,NA
SNROCKPCOAST,166716,Sebastes diploproa,Splitnose Rockfish,USA-NMFS-PCOAST,Splitnose Rockfish Pacific Coast,US West Coast,0,
SOLECS,173001,Solea vulgaris,common European sole,multinational-ICES-VIIf-g,common European sole Celtic Sea,European Union,1,SOLECS
SOLEIIIa,173001,Solea vulgaris,common European sole,multinational-ICES-IIIa,common European sole ICES Kattegat and Skagerrak,European Union,1,SOLEIIIa
SOLEIS,173001,Solea vulgaris,common European sole,multinational-ICES-VIIa,common European sole Irish Sea,European Union,1,SOLEIS
SOLENS,173001,Solea vulgaris,common European sole,multinational-ICES-IV,common European sole North Sea,European Union,1,SOLENS
SOLEVIId,173001,Solea vulgaris,common European sole,multinational-ICES-VIId,common European sole ICES VIId,European Union,1,SOLEVIId
SOLEVIIe,173001,Solea vulgaris,common European sole,multinational-ICES-VIIe,common European sole Western English Channel,European Union,1,SOLEVIIe
SOLEVIII,173001,Solea vulgaris,common European sole,multinational-ICES-VIII,common European sole Bay of Biscay,European Union,1,SOLEVIII
SOUTHHAKECH,164797,Merluccius australis,southern hake,multinational-SPRFMO-CH,South Hake Chile,South America,0,
SOUTHHAKECR,164797,Merluccius australis,Southern hake,New Zealand-MFish-CR,Southern hake Chatham Rise,New Zealand,0,
SOUTHHAKESA,164797,Merluccius australis,Southern hake,New Zealand-MFish-SA,Southern hake Sub-Antarctic,New Zealand,0,
SPANMACKSATLC,172436,Scomberomorus maculatus,Spanish mackerel,USA-NMFS-SATLC,Spanish mackerel Southern Atlantic Coast,US Southeast/Gulf,0,NA
SPANMACKSETO,172446,Scomberomorus niphonius,Japanese Spanish mackerel,Japan-FAFRFJ-SETO,Japanese Spanish mackerel Inland Sea of Japan,Russia Japan,0,
SPHAKECH,164799,Merluccius gayi,south pacific hake,multinational-SPRFMO-CH,South Pacific Hake Chile,South America,0,
SPRAT22-32,161789,Sprattus sprattus,Sprat,multinational-ICES-22-32,Sprat ICES Baltic Areas 22-32,European Union,1,SPRAT22-32
SPRATNS,161789,Sprattus sprattus,Sprat,multinational-ICES-IV,Sprat North Sea,European Union,0,NA
SPSDOGPCOAST,160620,Squalus suckleyi,Spotted spiny dogfish,USA-NMFS-PCOAST,Spotted spiny dogfish Pacific Coast,US West Coast,0,
